iter	Passed	Remaining
0	140	291232
1	237	246655
2	334	231457
3	432	224246
4	530	220136
5	633	218679
6	731	216320
7	832	215482
8	931	214041
9	1032	213552
10	1133	212973
11	1234	212505
12	1333	211817
13	1429	210678
14	1525	209825
15	1628	209834
16	1725	209171
17	1825	208924
18	1923	208479
19	2016	207524
20	2112	206905
21	2209	206501
22	2303	205787
23	2399	205361
24	2497	205057
25	2594	204799
26	2692	204558
27	2791	204403
28	2886	203932
29	2988	204026
30	3085	203759
31	3180	203370
32	3277	203074
33	3373	202836
34	3478	203028
35	3576	202882
36	3681	203091
37	3786	203275
38	3883	203058
39	3980	202788
40	4087	203080
41	4192	203256
42	4288	202947
43	4380	202481
44	4472	202036
45	4567	201783
46	4665	201602
47	4758	201243
48	4853	200968
49	4945	200594
50	5049	200701
51	5147	200556
52	5243	200322
53	5331	199833
54	5424	199535
55	5520	199329
56	5614	199060
57	5707	198771
58	5799	198459
59	5896	198323
60	5990	198078
61	6082	197768
62	6178	197603
63	6275	197467
64	6368	197237
65	6464	197066
66	6555	196771
67	6656	196771
68	6754	196649
69	6847	196423
70	6928	195852
71	7023	195693
72	7123	195645
73	7199	194958
74	7298	194923
75	7393	194763
76	7482	194439
77	7578	194320
78	7670	194082
79	7757	193747
80	7834	193147
81	7934	193127
82	8028	192969
83	8128	192964
84	8220	192739
85	8308	192448
86	8404	192335
87	8496	192126
88	8585	191878
89	8688	191919
90	8835	192934
91	8927	192717
92	9022	192586
93	9118	192453
94	9189	191824
95	9286	191736
96	9371	191393
97	9460	191141
98	9527	190453
99	9605	189990
100	9675	189385
101	9767	189213
102	9846	188811
103	9939	188661
104	10029	188467
105	10112	188132
106	10205	187985
107	10299	187872
108	10380	187515
109	10472	187369
110	10557	187083
111	10647	186896
112	10727	186540
113	10806	186172
114	10891	185921
115	10982	185748
116	11063	185437
117	11154	185269
118	11236	184970
119	11317	184664
120	11404	184447
121	11498	184344
122	11592	184262
123	11670	183901
