ID,probability
TEST_00000,0.0012576465
TEST_00001,0.0019611751
TEST_00002,0.14942802
TEST_00003,0.10906981
TEST_00004,0.5112035
TEST_00005,0.12762558
TEST_00006,0.4421546
TEST_00007,0.37805125
TEST_00008,0.30130047
TEST_00009,0.00085563527
TEST_00010,0.04996511
TEST_00011,0.45802104
TEST_00012,0.37300038
TEST_00013,0.3930764
TEST_00014,0.3415058
TEST_00015,0.0012916587
TEST_00016,0.22282389
TEST_00017,0.36310115
TEST_00018,0.17979175
TEST_00019,0.6297369
TEST_00020,0.25906667
TEST_00021,0.38895324
TEST_00022,0.272818
TEST_00023,0.21040541
TEST_00024,0.3998928
TEST_00025,0.0010118763
TEST_00026,0.11827563
TEST_00027,0.44693524
TEST_00028,0.17142995
TEST_00029,0.17609759
TEST_00030,0.411905
TEST_00031,0.17665818
TEST_00032,0.15748659
TEST_00033,0.17962259
TEST_00034,0.40710166
TEST_00035,0.001078654
TEST_00036,0.12776376
TEST_00037,0.30207458
TEST_00038,0.26065052
TEST_00039,0.012332668
TEST_00040,0.20082211
TEST_00041,0.14106768
TEST_00042,0.30871964
TEST_00043,0.29293925
TEST_00044,0.31356424
TEST_00045,0.52251506
TEST_00046,0.51431835
TEST_00047,0.24666804
TEST_00048,0.12419386
TEST_00049,0.3937569
TEST_00050,0.25722137
TEST_00051,0.1919136
TEST_00052,0.12730938
TEST_00053,0.5714433
TEST_00054,0.0024025457
TEST_00055,0.41588935
TEST_00056,0.34375417
TEST_00057,0.217408
TEST_00058,0.525153
TEST_00059,0.18216464
TEST_00060,0.0021704382
TEST_00061,0.17005141
TEST_00062,0.31558055
TEST_00063,0.33023995
TEST_00064,0.22471485
TEST_00065,0.002093471
TEST_00066,0.2715053
TEST_00067,0.1949372
TEST_00068,0.29111433
TEST_00069,0.46195146
TEST_00070,0.3889233
TEST_00071,0.36792684
TEST_00072,0.23204067
TEST_00073,0.265938
TEST_00074,0.13399759
TEST_00075,0.25035712
TEST_00076,0.012700279
TEST_00077,0.0017124873
TEST_00078,0.13087656
TEST_00079,0.1982193
TEST_00080,0.3440086
TEST_00081,0.00085280306
TEST_00082,0.21974672
TEST_00083,0.16727696
TEST_00084,0.45192945
TEST_00085,0.39166525
TEST_00086,0.001017075
TEST_00087,0.42140418
TEST_00088,0.10569719
TEST_00089,0.381712
TEST_00090,0.24071799
TEST_00091,0.10077745
TEST_00092,0.3331881
TEST_00093,0.5639983
