ID,probability
TEST_00000,0.0011875576
TEST_00001,0.0015041993
TEST_00002,0.15378834
TEST_00003,0.104594246
TEST_00004,0.5199728
TEST_00005,0.12270818
TEST_00006,0.45463684
TEST_00007,0.36794475
TEST_00008,0.30752894
TEST_00009,0.00072542974
TEST_00010,0.050250527
TEST_00011,0.4597172
TEST_00012,0.38152432
TEST_00013,0.41147324
TEST_00014,0.31531724
TEST_00015,0.0011771321
TEST_00016,0.17548423
TEST_00017,0.3621797
TEST_00018,0.1931268
TEST_00019,0.70701057
TEST_00020,0.25526938
TEST_00021,0.40058443
TEST_00022,0.27198607
TEST_00023,0.21229364
TEST_00024,0.39429563
TEST_00025,0.0012462344
TEST_00026,0.12197603
TEST_00027,0.45958036
TEST_00028,0.16779548
TEST_00029,0.18184598
TEST_00030,0.43400252
TEST_00031,0.1797258
TEST_00032,0.15546063
TEST_00033,0.18024445
TEST_00034,0.394956
TEST_00035,0.0010481846
TEST_00036,0.124773495
TEST_00037,0.30159193
TEST_00038,0.26954436
TEST_00039,0.012809403
TEST_00040,0.19288646
TEST_00041,0.1410333
TEST_00042,0.30842578
TEST_00043,0.299576
TEST_00044,0.31431162
TEST_00045,0.51291025
TEST_00046,0.50337136
TEST_00047,0.24102233
TEST_00048,0.12844346
TEST_00049,0.39512455
TEST_00050,0.25768554
TEST_00051,0.21108153
TEST_00052,0.1134949
TEST_00053,0.5952812
TEST_00054,0.002779936
TEST_00055,0.4064872
TEST_00056,0.3398585
TEST_00057,0.21773015
TEST_00058,0.52043456
TEST_00059,0.18445963
TEST_00060,0.001993164
TEST_00061,0.16948828
TEST_00062,0.32698497
TEST_00063,0.33991414
TEST_00064,0.22311856
TEST_00065,0.0023500267
TEST_00066,0.27594367
TEST_00067,0.18886556
TEST_00068,0.28830054
TEST_00069,0.47707585
TEST_00070,0.39617938
TEST_00071,0.3718449
TEST_00072,0.21616367
TEST_00073,0.26931274
TEST_00074,0.14191742
TEST_00075,0.24985968
TEST_00076,0.010984093
TEST_00077,0.0018902933
TEST_00078,0.11831848
TEST_00079,0.19621968
TEST_00080,0.3496281
TEST_00081,0.001135768
TEST_00082,0.21797982
TEST_00083,0.1613073
TEST_00084,0.4334215
TEST_00085,0.38218355
TEST_00086,0.00088478246
TEST_00087,0.3869943
TEST_00088,0.11697699
TEST_00089,0.38330466
TEST_00090,0.23438618
TEST_00091,0.098830834
TEST_00092,0.33702388
TEST_00093,0.5543387
TEST_00094,0.00072122144
TEST_00095,0.0010715327
TEST_00096,0.46055532
TEST_00097,0.106551036
TEST_00098,0.38542467
TEST_00099,0.281905
TEST_00100,0.07066156
TEST_00101,0.20466077
TEST_00102,0.3622596
TEST_00103,0.2887644
TEST_00104,0.35348308
TEST_00105,0.47287092
TEST_00106,0.268301
TEST_00107,0.0009343107
TEST_00108,0.33227634
TEST_00109,0.0012983419
TEST_00110,0.4069616
TEST_00111,0.3798673
TEST_00112,0.01414386
TEST_00113,0.3799098
TEST_00114,0.20349368
TEST_00115,0.40905264
TEST_00116,0.001195483
TEST_00117,0.44809675
TEST_00118,0.3382066
TEST_00119,0.13503496
TEST_00120,0.0013956212
TEST_00121,0.0010499791
TEST_00122,0.31828672
TEST_00123,0.5122568
TEST_00124,0.4108757
TEST_00125,0.28306884
TEST_00126,0.0021858998
TEST_00127,0.058493152
