ID,probability
TEST_00000,0.001076295
TEST_00001,0.001202603
TEST_00002,0.14933762
TEST_00003,0.10838665
TEST_00004,0.51053494
TEST_00005,0.13281974
TEST_00006,0.45760998
TEST_00007,0.36654183
TEST_00008,0.29870868
TEST_00009,0.0006148882
TEST_00010,0.049360443
TEST_00011,0.47197
TEST_00012,0.3758668
TEST_00013,0.40510407
TEST_00014,0.33788395
TEST_00015,0.0012559395
TEST_00016,0.19266084
TEST_00017,0.3620874
TEST_00018,0.18910015
TEST_00019,0.7037745
TEST_00020,0.2585843
TEST_00021,0.39033243
TEST_00022,0.28849342
TEST_00023,0.20311034
TEST_00024,0.39583647
TEST_00025,0.0013373743
TEST_00026,0.11990963
TEST_00027,0.44059986
TEST_00028,0.16068366
TEST_00029,0.18003689
TEST_00030,0.44864663
TEST_00031,0.1768146
TEST_00032,0.15835837
TEST_00033,0.17507507
TEST_00034,0.3951295
TEST_00035,0.001025953
TEST_00036,0.13510583
TEST_00037,0.29672247
TEST_00038,0.26240727
TEST_00039,0.0036698563
TEST_00040,0.18215491
TEST_00041,0.13936381
TEST_00042,0.3041207
TEST_00043,0.30172378
TEST_00044,0.31194595
TEST_00045,0.50429535
TEST_00046,0.5159294
TEST_00047,0.23979819
TEST_00048,0.1257174
TEST_00049,0.3769188
TEST_00050,0.28413016
TEST_00051,0.18868494
TEST_00052,0.11587361
TEST_00053,0.58815247
TEST_00054,0.0017939457
TEST_00055,0.39038062
TEST_00056,0.34857893
TEST_00057,0.20950626
TEST_00058,0.5147578
TEST_00059,0.18985291
TEST_00060,0.002068986
TEST_00061,0.15767346
TEST_00062,0.32666606
TEST_00063,0.33369014
TEST_00064,0.21566297
TEST_00065,0.0012578173
TEST_00066,0.27865237
TEST_00067,0.18457364
TEST_00068,0.29717112
TEST_00069,0.47472247
TEST_00070,0.38393387
TEST_00071,0.3725482
TEST_00072,0.2193664
TEST_00073,0.24357228
TEST_00074,0.14246124
TEST_00075,0.24255192
TEST_00076,0.01307506
TEST_00077,0.0012631846
TEST_00078,0.11608317
TEST_00079,0.20587465
TEST_00080,0.34300935
TEST_00081,0.0012411542
TEST_00082,0.21537292
TEST_00083,0.16642305
TEST_00084,0.43089196
TEST_00085,0.3821225
TEST_00086,0.0006444719
TEST_00087,0.3791756
TEST_00088,0.1189553
TEST_00089,0.37744868
TEST_00090,0.22860013
TEST_00091,0.10112983
TEST_00092,0.35116976
TEST_00093,0.5668806
TEST_00094,0.0004877555
TEST_00095,0.0012440296
TEST_00096,0.44499123
TEST_00097,0.10859513
TEST_00098,0.37847877
TEST_00099,0.28691906
TEST_00100,0.095831394
TEST_00101,0.18596368
TEST_00102,0.38140294
TEST_00103,0.3028398
TEST_00104,0.34965914
TEST_00105,0.47389758
TEST_00106,0.26477823
TEST_00107,0.0010721653
TEST_00108,0.34501645
TEST_00109,0.0011731063
TEST_00110,0.42634165
TEST_00111,0.40392202
TEST_00112,0.013871525
TEST_00113,0.3852653
TEST_00114,0.1703807
TEST_00115,0.3920703
TEST_00116,0.0010688545
TEST_00117,0.45496035
TEST_00118,0.33543238
TEST_00119,0.16088837
TEST_00120,0.0013808379
TEST_00121,0.001111889
TEST_00122,0.32686338
TEST_00123,0.4987739
TEST_00124,0.40928304
TEST_00125,0.29670703
TEST_00126,0.0017663974
TEST_00127,0.055000406
TEST_00128,0.2770209
TEST_00129,0.38754323
TEST_00130,0.23352839
TEST_00131,0.3879778
TEST_00132,0.0016878558
TEST_00133,0.26230177
TEST_00134,0.37746736
TEST_00135,0.0015569319
TEST_00136,0.18201327
TEST_00137,0.24510641
TEST_00138,0.08401037
TEST_00139,0.26007393
TEST_00140,0.012820713
TEST_00141,0.0019744413
TEST_00142,0.29435903
TEST_00143,0.0015046885
TEST_00144,0.1345499
TEST_00145,0.4566881
TEST_00146,0.22428729
TEST_00147,0.22142768
TEST_00148,0.24064694
TEST_00149,0.41451934
TEST_00150,0.0014975814
TEST_00151,0.0009186289
TEST_00152,0.42152306
TEST_00153,0.29534942
TEST_00154,0.026126448
TEST_00155,0.22204241
TEST_00156,0.39000738
TEST_00157,0.35235348
TEST_00158,0.4336905
TEST_00159,0.32933065
TEST_00160,0.40716845
TEST_00161,0.51005536
TEST_00162,0.3395081
TEST_00163,0.002681024
TEST_00164,0.5412094
TEST_00165,0.23703146
TEST_00166,0.3642865
TEST_00167,0.21346201
TEST_00168,0.37127373
TEST_00169,0.15049595
TEST_00170,0.2042768
TEST_00171,0.22831742
TEST_00172,0.23556577
TEST_00173,0.26612395
TEST_00174,0.13236955
TEST_00175,0.29305375
TEST_00176,0.41918123
TEST_00177,0.17744596
TEST_00178,0.3912497
TEST_00179,0.3215877
TEST_00180,0.33406615
TEST_00181,0.4632039
TEST_00182,0.15787251
TEST_00183,0.5582633
TEST_00184,0.122231714
TEST_00185,0.20202586
TEST_00186,0.3649779
TEST_00187,0.2511831
TEST_00188,0.32326224
TEST_00189,0.29447815
TEST_00190,0.44047987
TEST_00191,0.20709528
TEST_00192,0.28110072
TEST_00193,0.057448424
TEST_00194,0.616819
TEST_00195,0.36520898
TEST_00196,0.44271266
TEST_00197,0.2710708
TEST_00198,0.28061962
TEST_00199,0.31620452
TEST_00200,0.38484243
TEST_00201,0.4513011
TEST_00202,0.26732537
TEST_00203,0.31502035
TEST_00204,0.00090925174
TEST_00205,0.0545224
TEST_00206,0.0010908882
TEST_00207,0.2755143
TEST_00208,0.20879732
TEST_00209,0.26443776
TEST_00210,0.4332231
TEST_00211,0.13650237
TEST_00212,0.16136166
TEST_00213,0.1309574
TEST_00214,0.34523875
TEST_00215,0.2804255
TEST_00216,0.3418715
TEST_00217,0.28530562
TEST_00218,0.49389064
TEST_00219,0.20218919
TEST_00220,0.5881181
TEST_00221,0.42109436
TEST_00222,0.08049755
TEST_00223,0.27620384
TEST_00224,0.1208217
TEST_00225,0.31986997
TEST_00226,0.2116865
TEST_00227,0.34707227
TEST_00228,0.0014665694
TEST_00229,0.3193817
TEST_00230,0.29559073
TEST_00231,0.3679402
TEST_00232,0.22769922
TEST_00233,0.30692747
TEST_00234,0.3685087
TEST_00235,0.47681725
TEST_00236,0.3312776
TEST_00237,0.0009231784
TEST_00238,0.0010497681
TEST_00239,0.41635177
TEST_00240,0.30304387
TEST_00241,0.37598655
TEST_00242,0.30114526
TEST_00243,0.19300884
TEST_00244,0.00081347127
TEST_00245,0.5574388
TEST_00246,0.36530888
TEST_00247,0.11366566
TEST_00248,0.36618766
TEST_00249,0.46749517
TEST_00250,0.22039945
TEST_00251,0.0012217159
TEST_00252,0.41553715
TEST_00253,0.011712256
TEST_00254,0.3625779
TEST_00255,0.5451204
TEST_00256,0.37478882
TEST_00257,0.3834839
TEST_00258,0.39966318
TEST_00259,0.5077125
TEST_00260,0.00076801516
TEST_00261,0.0008235403
TEST_00262,0.0018349331
TEST_00263,0.5166829
TEST_00264,0.21451923
TEST_00265,0.32278568
TEST_00266,0.18438447
TEST_00267,0.0014850016
TEST_00268,0.19931123
TEST_00269,0.36360586
TEST_00270,0.16653585
TEST_00271,0.0023051538
TEST_00272,0.26918557
TEST_00273,0.25303873
TEST_00274,0.2521986
TEST_00275,0.04608559
TEST_00276,0.0011320345
TEST_00277,0.26335022
TEST_00278,0.3433003
TEST_00279,0.4777328
TEST_00280,0.00196523
TEST_00281,0.13592747
TEST_00282,0.0014908321
TEST_00283,0.0010283313
TEST_00284,0.39666972
TEST_00285,0.28784508
TEST_00286,0.059235144
TEST_00287,0.5086133
TEST_00288,0.002615221
TEST_00289,0.3818027
TEST_00290,0.16205612
TEST_00291,0.28173417
TEST_00292,0.43081945
TEST_00293,0.0009113659
TEST_00294,0.46670148
TEST_00295,0.30513057
