ID,probability
TEST_00000,0.0005605377
TEST_00001,0.000578777
TEST_00002,0.15648203
TEST_00003,0.10343513
TEST_00004,0.5352357
TEST_00005,0.119546086
TEST_00006,0.4550919
TEST_00007,0.3418144
TEST_00008,0.2866317
TEST_00009,0.0002826141
TEST_00010,0.04958463
TEST_00011,0.44780707
TEST_00012,0.38374895
TEST_00013,0.43041715
TEST_00014,0.3262663
TEST_00015,0.0003868428
TEST_00016,0.2442566
TEST_00017,0.36562523
TEST_00018,0.19245529
TEST_00019,0.71172583
TEST_00020,0.25694564
TEST_00021,0.38839832
TEST_00022,0.2708375
TEST_00023,0.21380231
TEST_00024,0.40123865
TEST_00025,0.0004587712
TEST_00026,0.10274253
TEST_00027,0.4346129
TEST_00028,0.17601329
TEST_00029,0.18146986
TEST_00030,0.44072658
TEST_00031,0.18204546
TEST_00032,0.15952185
TEST_00033,0.17889714
TEST_00034,0.40213683
TEST_00035,0.00033261505
TEST_00036,0.1306932
TEST_00037,0.31669134
TEST_00038,0.27144068
TEST_00039,0.010863472
TEST_00040,0.19877602
TEST_00041,0.1407746
TEST_00042,0.30827415
TEST_00043,0.29751185
TEST_00044,0.30689365
TEST_00045,0.5499889
TEST_00046,0.52216226
TEST_00047,0.22418883
TEST_00048,0.12441682
TEST_00049,0.39264584
TEST_00050,0.2494494
TEST_00051,0.15951243
TEST_00052,0.11889867
TEST_00053,0.6033515
TEST_00054,0.0038819902
TEST_00055,0.4222982
TEST_00056,0.33000642
TEST_00057,0.21391673
TEST_00058,0.5233291
TEST_00059,0.16713667
TEST_00060,0.0009935503
TEST_00061,0.1628162
TEST_00062,0.29469967
TEST_00063,0.3272575
TEST_00064,0.25376233
TEST_00065,0.0031606683
TEST_00066,0.2578429
TEST_00067,0.18930331
TEST_00068,0.2829623
TEST_00069,0.47292876
TEST_00070,0.3896761
TEST_00071,0.37058815
TEST_00072,0.20779102
TEST_00073,0.25390276
TEST_00074,0.13951592
TEST_00075,0.26167104
TEST_00076,0.008800712
TEST_00077,0.0015481102
TEST_00078,0.12303982
TEST_00079,0.20498513
TEST_00080,0.3430115
TEST_00081,0.00021861048
TEST_00082,0.20065951
TEST_00083,0.17043322
TEST_00084,0.44211242
TEST_00085,0.39296198
TEST_00086,0.00031408653
TEST_00087,0.37578937
TEST_00088,0.11145486
TEST_00089,0.3735651
TEST_00090,0.25103146
TEST_00091,0.09762284
TEST_00092,0.33065018
TEST_00093,0.5599257
TEST_00094,0.000328924
TEST_00095,0.00037303095
TEST_00096,0.4470267
TEST_00097,0.10696782
TEST_00098,0.39126438
TEST_00099,0.2705164
TEST_00100,0.10088306
TEST_00101,0.19602798
TEST_00102,0.35203215
TEST_00103,0.28529775
TEST_00104,0.35657942
TEST_00105,0.47347352
TEST_00106,0.2647491
TEST_00107,0.000561551
TEST_00108,0.32613224
TEST_00109,0.00053271855
TEST_00110,0.41658247
TEST_00111,0.3843323
TEST_00112,0.013194735
TEST_00113,0.37298796
TEST_00114,0.13521545
TEST_00115,0.445658
TEST_00116,0.00038306534
TEST_00117,0.45727783
TEST_00118,0.34281138
TEST_00119,0.14683336
TEST_00120,0.0006566547
TEST_00121,0.00049309595
TEST_00122,0.30442092
TEST_00123,0.5124505
TEST_00124,0.41827247
TEST_00125,0.2857993
TEST_00126,0.002435508
TEST_00127,0.058869455
TEST_00128,0.26837757
TEST_00129,0.41275883
TEST_00130,0.21716477
TEST_00131,0.40923887
TEST_00132,0.0005124413
TEST_00133,0.2621394
TEST_00134,0.3729523
TEST_00135,0.0011658936
TEST_00136,0.20173083
TEST_00137,0.2321661
TEST_00138,0.08018318
TEST_00139,0.24409978
TEST_00140,0.013563642
TEST_00141,0.0012312476
TEST_00142,0.30284068
TEST_00143,0.001818331
TEST_00144,0.13199702
TEST_00145,0.4909069
TEST_00146,0.1704889
TEST_00147,0.22226796
TEST_00148,0.24204145
TEST_00149,0.41757953
TEST_00150,0.0007411915
TEST_00151,0.0010879112
TEST_00152,0.40663993
TEST_00153,0.29251772
TEST_00154,0.021012966
TEST_00155,0.23930639
TEST_00156,0.41134936
TEST_00157,0.3506699
TEST_00158,0.46031234
TEST_00159,0.336919
TEST_00160,0.40952256
TEST_00161,0.51259863
TEST_00162,0.31815404
TEST_00163,0.0027318215
TEST_00164,0.5523978
TEST_00165,0.24314857
TEST_00166,0.35017088
TEST_00167,0.21423152
TEST_00168,0.36830625
TEST_00169,0.1570363
TEST_00170,0.21270765
TEST_00171,0.23376656
TEST_00172,0.24937563
TEST_00173,0.31629586
TEST_00174,0.1385302
TEST_00175,0.29524082
TEST_00176,0.44004184
TEST_00177,0.18895695
TEST_00178,0.37329254
TEST_00179,0.3018352
TEST_00180,0.33740678
TEST_00181,0.4784703
TEST_00182,0.17057835
TEST_00183,0.55658627
TEST_00184,0.1206968
TEST_00185,0.19884697
TEST_00186,0.32250193
TEST_00187,0.26369366
TEST_00188,0.3202674
TEST_00189,0.28601834
TEST_00190,0.46841374
TEST_00191,0.22454144
TEST_00192,0.28605863
TEST_00193,0.05718978
TEST_00194,0.6928627
TEST_00195,0.38034418
TEST_00196,0.44118255
TEST_00197,0.25968525
TEST_00198,0.27187487
TEST_00199,0.29977626
TEST_00200,0.40037888
TEST_00201,0.45830712
TEST_00202,0.27060452
TEST_00203,0.29754335
TEST_00204,0.00040675802
TEST_00205,0.052668575
TEST_00206,0.001214539
TEST_00207,0.305131
TEST_00208,0.2261091
TEST_00209,0.2842103
TEST_00210,0.4234416
TEST_00211,0.1364796
TEST_00212,0.17797077
TEST_00213,0.12458016
TEST_00214,0.34257957
TEST_00215,0.27665702
TEST_00216,0.32507753
TEST_00217,0.28365713
TEST_00218,0.53394276
TEST_00219,0.20923333
TEST_00220,0.5861733
TEST_00221,0.42752913
TEST_00222,0.10706111
TEST_00223,0.2735626
TEST_00224,0.120587155
TEST_00225,0.3197178
TEST_00226,0.22251408
TEST_00227,0.3408212
TEST_00228,0.0011165655
TEST_00229,0.32082877
TEST_00230,0.2702012
TEST_00231,0.37926543
TEST_00232,0.20100312
TEST_00233,0.31079343
TEST_00234,0.37164253
TEST_00235,0.4963839
TEST_00236,0.31981766
TEST_00237,0.0005669279
TEST_00238,0.001365446
TEST_00239,0.4010582
TEST_00240,0.2885714
TEST_00241,0.38038787
TEST_00242,0.3059142
TEST_00243,0.19998701
TEST_00244,0.00043512403
TEST_00245,0.4915126
TEST_00246,0.36526814
TEST_00247,0.11036611
TEST_00248,0.35594666
TEST_00249,0.48526773
TEST_00250,0.20537117
TEST_00251,0.0005477455
TEST_00252,0.42751348
TEST_00253,0.012003227
TEST_00254,0.3634107
TEST_00255,0.56498706
TEST_00256,0.3737133
TEST_00257,0.35678977
TEST_00258,0.40191078
TEST_00259,0.53375536
TEST_00260,0.0004511687
TEST_00261,0.00041350548
TEST_00262,0.00042345564
TEST_00263,0.5103155
TEST_00264,0.22040525
TEST_00265,0.3277129
TEST_00266,0.18362105
TEST_00267,0.00042041225
TEST_00268,0.19498014
TEST_00269,0.37245166
TEST_00270,0.17350522
TEST_00271,0.0023830135
TEST_00272,0.2530301
TEST_00273,0.24487928
TEST_00274,0.26123455
TEST_00275,0.049386997
TEST_00276,0.00032900556
TEST_00277,0.25925
TEST_00278,0.359974
TEST_00279,0.5060555
TEST_00280,0.012036717
TEST_00281,0.13315564
TEST_00282,0.0006263234
TEST_00283,0.0004326424
TEST_00284,0.39292786
TEST_00285,0.28876343
TEST_00286,0.06067526
TEST_00287,0.5147643
TEST_00288,0.0017840168
TEST_00289,0.380486
TEST_00290,0.15893097
TEST_00291,0.3120439
TEST_00292,0.41834483
TEST_00293,0.00060478086
TEST_00294,0.52608895
TEST_00295,0.3452652
TEST_00296,0.022046853
TEST_00297,0.00065791694
TEST_00298,0.53997236
TEST_00299,0.34274992
TEST_00300,0.15610836
TEST_00301,0.4706065
TEST_00302,0.29086968
TEST_00303,0.40047106
TEST_00304,0.58568716
TEST_00305,0.47765794
TEST_00306,0.20719418
TEST_00307,0.52729785
TEST_00308,0.4233
TEST_00309,0.47354847
TEST_00310,0.4013016
TEST_00311,0.47168392
TEST_00312,0.13935807
TEST_00313,0.1683732
TEST_00314,0.47568
TEST_00315,0.3033597
TEST_00316,0.03353069
TEST_00317,0.106266506
TEST_00318,0.00028291688
TEST_00319,0.0013910386
TEST_00320,0.43970388
TEST_00321,0.2184917
TEST_00322,0.1873691
TEST_00323,0.23028423
TEST_00324,0.31529662
TEST_00325,0.00016546618
TEST_00326,0.30138585
TEST_00327,0.28871337
TEST_00328,0.14295882
TEST_00329,0.33096263
TEST_00330,0.35315505
TEST_00331,0.00024985516
TEST_00332,0.42677823
TEST_00333,0.37537625
TEST_00334,0.42257473
TEST_00335,0.32219318
TEST_00336,0.00027357115
TEST_00337,0.18787692
TEST_00338,0.2792158
TEST_00339,0.30068272
TEST_00340,0.3419779
TEST_00341,0.28031275
TEST_00342,0.13691096
TEST_00343,0.043908622
TEST_00344,0.20027867
TEST_00345,0.022205224
TEST_00346,0.25730124
TEST_00347,0.24824654
TEST_00348,0.4021526
TEST_00349,0.3111284
TEST_00350,0.25469777
TEST_00351,0.36949396
TEST_00352,0.0011375601
TEST_00353,0.003578146
TEST_00354,0.18684183
TEST_00355,0.40697944
TEST_00356,0.17179886
TEST_00357,0.00048401995
TEST_00358,0.0012719659
TEST_00359,0.48594376
TEST_00360,0.36582747
TEST_00361,0.21045731
TEST_00362,0.4150983
TEST_00363,0.0013201564
TEST_00364,0.31002304
TEST_00365,0.22567315
TEST_00366,0.30827865
TEST_00367,0.18183634
TEST_00368,0.29751945
TEST_00369,0.08572223
TEST_00370,0.00029966093
TEST_00371,0.10538218
TEST_00372,0.25622228
TEST_00373,0.44144416
TEST_00374,0.3781463
TEST_00375,0.0014940504
TEST_00376,0.0002753269
TEST_00377,0.26788017
TEST_00378,0.29165432
TEST_00379,0.1646048
TEST_00380,0.0018314996
TEST_00381,0.43244404
TEST_00382,0.43735495
TEST_00383,0.1057505
TEST_00384,0.38053626
TEST_00385,0.1945435
TEST_00386,0.49969298
TEST_00387,0.31849745
TEST_00388,0.2864492
TEST_00389,0.17470324
TEST_00390,0.45052463
TEST_00391,0.4911102
TEST_00392,0.33044708
TEST_00393,0.3121543
TEST_00394,0.10231805
TEST_00395,0.49262953
TEST_00396,0.349667
TEST_00397,0.0028585626
TEST_00398,0.15260631
TEST_00399,0.00021392835
TEST_00400,0.33795822
TEST_00401,0.0004758396
TEST_00402,0.11946966
TEST_00403,0.008367897
TEST_00404,0.4338163
TEST_00405,0.47865155
TEST_00406,0.093954876
TEST_00407,0.26422748
TEST_00408,0.28007916
TEST_00409,0.10417343
TEST_00410,0.048528127
TEST_00411,0.20316267
TEST_00412,0.14431399
TEST_00413,0.43849823
TEST_00414,0.3442853
TEST_00415,0.23516098
TEST_00416,0.4885699
TEST_00417,0.47455543
TEST_00418,0.46750486
TEST_00419,0.10070094
TEST_00420,0.08924123
TEST_00421,0.3374067
TEST_00422,0.47928214
TEST_00423,0.00020614592
TEST_00424,0.12529281
TEST_00425,0.19463935
TEST_00426,0.2821817
TEST_00427,0.35456505
TEST_00428,0.2622445
TEST_00429,0.18811738
TEST_00430,0.4126416
TEST_00431,0.40352553
TEST_00432,0.23168167
TEST_00433,0.00054076075
TEST_00434,0.45614803
TEST_00435,0.2953185
TEST_00436,0.00025372833
TEST_00437,0.27108854
TEST_00438,0.00040351407
TEST_00439,0.0015025095
TEST_00440,0.45373043
TEST_00441,0.51051116
TEST_00442,0.40353104
TEST_00443,0.37125337
TEST_00444,0.0015059048
TEST_00445,0.40574455
TEST_00446,0.08415905
TEST_00447,0.44744933
TEST_00448,0.36084196
TEST_00449,0.0006716887
TEST_00450,0.43655115
TEST_00451,0.00020361948
TEST_00452,0.34761274
TEST_00453,0.45634744
TEST_00454,0.27736923
TEST_00455,0.2369712
TEST_00456,0.005827381
TEST_00457,0.3505106
TEST_00458,0.14570889
TEST_00459,0.3224497
TEST_00460,0.0075145275
TEST_00461,0.42398828
TEST_00462,0.33667487
TEST_00463,0.17316721
TEST_00464,0.31086174
TEST_00465,0.2874316
TEST_00466,0.2592928
TEST_00467,0.3765017
TEST_00468,0.5414234
TEST_00469,0.0037508656
TEST_00470,0.3092834
TEST_00471,0.44658363
TEST_00472,0.49770662
TEST_00473,0.27388963
TEST_00474,0.5396943
TEST_00475,0.30686778
TEST_00476,0.00025388732
TEST_00477,0.43309194
TEST_00478,0.17048566
TEST_00479,0.23719923
TEST_00480,0.43644795
TEST_00481,0.1712743
TEST_00482,0.27793592
TEST_00483,0.2930946
TEST_00484,0.1566293
TEST_00485,0.2634519
TEST_00486,0.26056233
TEST_00487,0.4374657
TEST_00488,0.25272724
TEST_00489,0.34521163
TEST_00490,0.3343594
TEST_00491,0.399574
TEST_00492,0.16579476
TEST_00493,0.24731044
TEST_00494,0.001409826
TEST_00495,0.4903131
TEST_00496,0.2814322
TEST_00497,0.39219916
TEST_00498,0.2727782
TEST_00499,0.52157676
TEST_00500,0.0004707575
TEST_00501,0.0005008975
TEST_00502,0.054840535
TEST_00503,0.34928697
TEST_00504,0.00038796422
TEST_00505,0.51813215
TEST_00506,0.00039874626
TEST_00507,0.24660552
TEST_00508,0.43003312
TEST_00509,0.22657357
TEST_00510,0.22977829
TEST_00511,0.026944585
TEST_00512,0.019901695
TEST_00513,0.029198108
TEST_00514,0.5398034
TEST_00515,0.31085986
TEST_00516,0.44628194
TEST_00517,0.2974697
TEST_00518,0.23605338
TEST_00519,0.35549805
TEST_00520,0.00039190802
TEST_00521,0.1549339
TEST_00522,0.0013513177
TEST_00523,0.25109494
TEST_00524,0.30596876
TEST_00525,0.09988682
TEST_00526,0.16936271
TEST_00527,0.0014586033
TEST_00528,0.23935223
TEST_00529,0.25459173
TEST_00530,0.38565305
TEST_00531,0.40335563
TEST_00532,0.5109447
TEST_00533,0.0014123115
TEST_00534,0.23651767
TEST_00535,0.14235333
TEST_00536,0.4683611
TEST_00537,0.0007798096
TEST_00538,0.0018740704
TEST_00539,0.032848284
TEST_00540,0.36448032
TEST_00541,0.2630344
TEST_00542,0.0004355988
TEST_00543,0.32954708
TEST_00544,0.26830542
TEST_00545,0.35808402
TEST_00546,0.3639968
TEST_00547,0.00042017747
TEST_00548,0.5045742
TEST_00549,0.2643975
TEST_00550,0.31635237
TEST_00551,0.3187868
TEST_00552,0.30066878
TEST_00553,0.11215791
TEST_00554,0.23885651
TEST_00555,0.32508853
TEST_00556,0.18754765
TEST_00557,0.35584348
TEST_00558,0.44740158
TEST_00559,0.0022327206
TEST_00560,0.19964561
TEST_00561,0.068587996
TEST_00562,0.59183717
TEST_00563,0.001064094
TEST_00564,0.30927327
TEST_00565,0.21215914
TEST_00566,0.29165205
TEST_00567,0.13935454
TEST_00568,0.22574654
TEST_00569,0.22537187
