ID,probability
TEST_00000,0.00055539975
TEST_00001,0.00054273254
TEST_00002,0.13725562
TEST_00003,0.10161077
TEST_00004,0.4568472
TEST_00005,0.13531072
TEST_00006,0.4430754
TEST_00007,0.34449905
TEST_00008,0.27701992
TEST_00009,0.0004426978
TEST_00010,0.04867569
TEST_00011,0.4323054
TEST_00012,0.3895813
TEST_00013,0.3966299
TEST_00014,0.35458806
TEST_00015,0.0008284765
TEST_00016,0.18750578
TEST_00017,0.37313113
TEST_00018,0.18032204
TEST_00019,0.79950607
TEST_00020,0.25196102
TEST_00021,0.3810216
TEST_00022,0.27285644
TEST_00023,0.2021116
TEST_00024,0.39693356
TEST_00025,0.000630384
TEST_00026,0.11403234
TEST_00027,0.45661345
TEST_00028,0.16490425
TEST_00029,0.20518821
TEST_00030,0.44445556
TEST_00031,0.1860954
TEST_00032,0.15788655
TEST_00033,0.16842578
TEST_00034,0.41185346
TEST_00035,0.0007522896
TEST_00036,0.11060142
TEST_00037,0.3153977
TEST_00038,0.25970268
TEST_00039,0.0012247926
TEST_00040,0.19386202
TEST_00041,0.14201646
TEST_00042,0.31704313
TEST_00043,0.29268822
TEST_00044,0.30347207
TEST_00045,0.6163891
TEST_00046,0.53629464
TEST_00047,0.22041301
TEST_00048,0.13800293
TEST_00049,0.40233436
TEST_00050,0.26894817
TEST_00051,0.19950828
TEST_00052,0.08919154
TEST_00053,0.5781399
TEST_00054,0.0022439503
TEST_00055,0.39054298
TEST_00056,0.33243665
TEST_00057,0.21769646
TEST_00058,0.50680375
TEST_00059,0.1576136
TEST_00060,0.00081712496
TEST_00061,0.16107003
TEST_00062,0.29587254
TEST_00063,0.32550934
TEST_00064,0.21476492
TEST_00065,0.0024970034
TEST_00066,0.27112362
TEST_00067,0.16945669
TEST_00068,0.2993694
TEST_00069,0.4690687
TEST_00070,0.40300775
TEST_00071,0.3532603
TEST_00072,0.23569748
TEST_00073,0.24234174
TEST_00074,0.1319343
TEST_00075,0.24979596
TEST_00076,0.00539803
TEST_00077,0.0011701923
TEST_00078,0.11331816
TEST_00079,0.18944424
TEST_00080,0.3604563
TEST_00081,0.00040535175
TEST_00082,0.20027016
TEST_00083,0.17424357
TEST_00084,0.43600073
TEST_00085,0.4134393
TEST_00086,0.00043845517
TEST_00087,0.37317982
TEST_00088,0.106685825
TEST_00089,0.37830478
TEST_00090,0.2499842
TEST_00091,0.1046028
TEST_00092,0.21478446
TEST_00093,0.5387846
TEST_00094,0.00045301465
TEST_00095,0.00047562347
TEST_00096,0.45255712
TEST_00097,0.104718104
TEST_00098,0.36964968
TEST_00099,0.29096362
TEST_00100,0.07352518
TEST_00101,0.26583007
TEST_00102,0.36906654
TEST_00103,0.28009313
TEST_00104,0.35278642
TEST_00105,0.46204096
TEST_00106,0.29427838
TEST_00107,0.0004827644
TEST_00108,0.33997884
TEST_00109,0.0006620372
TEST_00110,0.4433583
TEST_00111,0.39755696
TEST_00112,0.0139285
TEST_00113,0.3713515
TEST_00114,0.21408406
TEST_00115,0.41716754
TEST_00116,0.00038889085
TEST_00117,0.45667696
TEST_00118,0.35326976
TEST_00119,0.1354568
TEST_00120,0.0008342063
TEST_00121,0.0008409282
TEST_00122,0.29511985
TEST_00123,0.5646378
TEST_00124,0.42991957
TEST_00125,0.28737277
TEST_00126,0.0011537398
TEST_00127,0.04963139
TEST_00128,0.2636623
TEST_00129,0.4121016
TEST_00130,0.22363324
TEST_00131,0.40399417
TEST_00132,0.0011328554
TEST_00133,0.26537836
TEST_00134,0.37202647
TEST_00135,0.0010354725
TEST_00136,0.17379075
TEST_00137,0.2085663
TEST_00138,0.06938446
TEST_00139,0.25764486
TEST_00140,0.015804872
TEST_00141,0.0020784857
TEST_00142,0.30534106
TEST_00143,0.0010110008
TEST_00144,0.13906428
TEST_00145,0.46871838
TEST_00146,0.22089626
TEST_00147,0.22243905
TEST_00148,0.24126543
TEST_00149,0.4128715
TEST_00150,0.0014631692
TEST_00151,0.0015378315
TEST_00152,0.39570203
TEST_00153,0.2908479
TEST_00154,0.02706033
TEST_00155,0.24780153
TEST_00156,0.49288246
TEST_00157,0.38020813
TEST_00158,0.49398202
TEST_00159,0.33283165
TEST_00160,0.4751487
TEST_00161,0.5373903
TEST_00162,0.32950133
TEST_00163,0.0007808614
TEST_00164,0.55002046
TEST_00165,0.22535327
TEST_00166,0.4292722
TEST_00167,0.20819752
TEST_00168,0.3632098
TEST_00169,0.18442291
TEST_00170,0.20760107
TEST_00171,0.26731396
TEST_00172,0.25582698
TEST_00173,0.2731944
TEST_00174,0.13719264
TEST_00175,0.25172856
TEST_00176,0.42897132
TEST_00177,0.17270051
TEST_00178,0.37370017
TEST_00179,0.292878
TEST_00180,0.34189016
TEST_00181,0.472405
TEST_00182,0.15842591
TEST_00183,0.58150226
TEST_00184,0.12822415
TEST_00185,0.19665602
