ID,probability
TEST_00000,0.0007767455
TEST_00001,0.00066441786
TEST_00002,0.15309021
TEST_00003,0.107285514
TEST_00004,0.5148065
TEST_00005,0.13677213
TEST_00006,0.448946
TEST_00007,0.33759773
TEST_00008,0.31777626
TEST_00009,0.00067558914
TEST_00010,0.05824218
TEST_00011,0.46359113
TEST_00012,0.36105365
TEST_00013,0.38042793
TEST_00014,0.31448385
TEST_00015,0.00075751566
TEST_00016,0.18020724
TEST_00017,0.37260216
TEST_00018,0.19945179
TEST_00019,0.6787103
TEST_00020,0.263697
TEST_00021,0.38760877
TEST_00022,0.27272105
TEST_00023,0.20167875
TEST_00024,0.3923814
TEST_00025,0.0007552167
TEST_00026,0.1086385
TEST_00027,0.448461
TEST_00028,0.16569175
TEST_00029,0.20831567
TEST_00030,0.42194334
TEST_00031,0.18277732
TEST_00032,0.17296235
TEST_00033,0.17393743
TEST_00034,0.41853046
TEST_00035,0.00090576016
TEST_00036,0.12362295
TEST_00037,0.30027935
TEST_00038,0.252847
TEST_00039,0.0037389512
TEST_00040,0.18708183
TEST_00041,0.13831814
TEST_00042,0.30958453
TEST_00043,0.2953165
TEST_00044,0.2983816
TEST_00045,0.50809824
TEST_00046,0.5053547
TEST_00047,0.22386609
TEST_00048,0.14407393
TEST_00049,0.38966408
TEST_00050,0.2793386
TEST_00051,0.18031596
TEST_00052,0.14006396
TEST_00053,0.5802535
TEST_00054,0.0022987558
TEST_00055,0.40978092
TEST_00056,0.3179277
TEST_00057,0.2186645
TEST_00058,0.5069813
TEST_00059,0.1943555
TEST_00060,0.0009148311
TEST_00061,0.16460635
TEST_00062,0.34597638
TEST_00063,0.3322568
TEST_00064,0.22366124
TEST_00065,0.0027241858
TEST_00066,0.2893995
TEST_00067,0.20408736
TEST_00068,0.2901167
TEST_00069,0.46692207
TEST_00070,0.4004817
TEST_00071,0.334428
TEST_00072,0.23403744
TEST_00073,0.27633563
TEST_00074,0.13032365
TEST_00075,0.23399937
TEST_00076,0.013311344
TEST_00077,0.0012436422
TEST_00078,0.122063786
TEST_00079,0.1788832
TEST_00080,0.34642193
TEST_00081,0.0005860307
TEST_00082,0.2253612
TEST_00083,0.15749866
TEST_00084,0.4618363
TEST_00085,0.42628324
TEST_00086,0.0006232665
TEST_00087,0.37847498
TEST_00088,0.09274943
TEST_00089,0.38170657
TEST_00090,0.24412319
TEST_00091,0.1151428
TEST_00092,0.36048022
TEST_00093,0.53848755
TEST_00094,0.0006241427
TEST_00095,0.00063869666
TEST_00096,0.4514928
TEST_00097,0.105939046
TEST_00098,0.380718
TEST_00099,0.30100948
TEST_00100,0.096944444
TEST_00101,0.21667303
TEST_00102,0.37407184
TEST_00103,0.3035415
TEST_00104,0.34976146
TEST_00105,0.471149
TEST_00106,0.26574108
TEST_00107,0.0009291454
TEST_00108,0.33977097
TEST_00109,0.0008950931
TEST_00110,0.41581696
TEST_00111,0.3637016
TEST_00112,0.015995301
TEST_00113,0.38675147
TEST_00114,0.22859438
TEST_00115,0.39837024
TEST_00116,0.0006170877
TEST_00117,0.47146103
TEST_00118,0.33993107
TEST_00119,0.1616269
TEST_00120,0.00096211856
TEST_00121,0.0009436916
TEST_00122,0.30322343
TEST_00123,0.4999043
TEST_00124,0.3902375
TEST_00125,0.27924237
TEST_00126,0.0016631387
TEST_00127,0.048575312
TEST_00128,0.28112444
TEST_00129,0.3832392
TEST_00130,0.23388287
TEST_00131,0.3839462
TEST_00132,0.0008864993
TEST_00133,0.2652642
TEST_00134,0.37767857
TEST_00135,0.0011735489
TEST_00136,0.18003023
TEST_00137,0.25189665
TEST_00138,0.07543952
TEST_00139,0.27271855
TEST_00140,0.019702433
TEST_00141,0.0053453776
TEST_00142,0.30384955
TEST_00143,0.0009280957
TEST_00144,0.14607455
TEST_00145,0.5343195
TEST_00146,0.2296802
TEST_00147,0.21854198
TEST_00148,0.24129225
TEST_00149,0.43416545
TEST_00150,0.0009691234
TEST_00151,0.0011917226
TEST_00152,0.39947784
TEST_00153,0.2979636
TEST_00154,0.028335925
TEST_00155,0.22688752
TEST_00156,0.41348502
TEST_00157,0.38378257
TEST_00158,0.42959288
TEST_00159,0.32794246
TEST_00160,0.40843865
TEST_00161,0.5206973
TEST_00162,0.3258197
TEST_00163,0.0013703691
TEST_00164,0.54385495
TEST_00165,0.21834747
TEST_00166,0.390855
TEST_00167,0.20152104
TEST_00168,0.3588469
TEST_00169,0.21363154
TEST_00170,0.20510253
TEST_00171,0.22389133
TEST_00172,0.25978926
TEST_00173,0.23406994
TEST_00174,0.13719442
TEST_00175,0.26062077
TEST_00176,0.41494927
TEST_00177,0.18985303
TEST_00178,0.3716704
TEST_00179,0.31965092
TEST_00180,0.3224965
TEST_00181,0.44308344
TEST_00182,0.16024505
TEST_00183,0.6111755
TEST_00184,0.12550224
TEST_00185,0.19530816
TEST_00186,0.34271133
TEST_00187,0.2627857
TEST_00188,0.33391625
TEST_00189,0.27067003
TEST_00190,0.4700638
TEST_00191,0.22329397
TEST_00192,0.2846154
TEST_00193,0.05169397
TEST_00194,0.6378362
TEST_00195,0.38026226
TEST_00196,0.43212894
TEST_00197,0.2667416
TEST_00198,0.24895653
TEST_00199,0.3250769
TEST_00200,0.39895847
TEST_00201,0.46592972
TEST_00202,0.2890642
TEST_00203,0.2823762
TEST_00204,0.000618523
TEST_00205,0.062291812
TEST_00206,0.00096799806
TEST_00207,0.22468016
TEST_00208,0.21931058
TEST_00209,0.2821121
TEST_00210,0.4256995
TEST_00211,0.13380134
TEST_00212,0.1698966
TEST_00213,0.20774165
TEST_00214,0.35040173
TEST_00215,0.2620124
TEST_00216,0.39448655
TEST_00217,0.28219366
TEST_00218,0.52534664
TEST_00219,0.20946221
TEST_00220,0.60798883
TEST_00221,0.41820526
TEST_00222,0.121456936
TEST_00223,0.28574958
TEST_00224,0.10834668
TEST_00225,0.2733288
TEST_00226,0.22861466
TEST_00227,0.33509326
TEST_00228,0.0010480768
TEST_00229,0.32163695
TEST_00230,0.28151718
TEST_00231,0.37348375
TEST_00232,0.20731913
TEST_00233,0.311984
