ID,probability
TEST_00000,0.0066483226
TEST_00001,0.006253774
TEST_00002,0.15787365
TEST_00003,0.12106491
TEST_00004,0.51301247
TEST_00005,0.13048019
TEST_00006,0.4554975
TEST_00007,0.40615904
TEST_00008,0.31907174
TEST_00009,0.0061456994
TEST_00010,0.0770129
TEST_00011,0.46793517
TEST_00012,0.37378767
TEST_00013,0.38846746
TEST_00014,0.31015196
TEST_00015,0.006266441
TEST_00016,0.22061013
TEST_00017,0.3800143
TEST_00018,0.2357815
TEST_00019,0.6103841
TEST_00020,0.278723
TEST_00021,0.3865582
TEST_00022,0.25125208
TEST_00023,0.21640158
TEST_00024,0.39933988
TEST_00025,0.006129939
TEST_00026,0.12652759
TEST_00027,0.46573332
TEST_00028,0.17232867
TEST_00029,0.1827017
TEST_00030,0.42081794
TEST_00031,0.19198628
TEST_00032,0.17353244
TEST_00033,0.18038201
TEST_00034,0.3917799
TEST_00035,0.0066122417
TEST_00036,0.13577674
TEST_00037,0.33114475
TEST_00038,0.28393593
TEST_00039,0.042808622
TEST_00040,0.1842901
TEST_00041,0.15273453
TEST_00042,0.2993686
TEST_00043,0.29579735
TEST_00044,0.31280246
TEST_00045,0.47099695
TEST_00046,0.48391452
TEST_00047,0.24074166
TEST_00048,0.15617885
TEST_00049,0.3819132
TEST_00050,0.25058246
TEST_00051,0.16425467
TEST_00052,0.14452581
TEST_00053,0.52057886
TEST_00054,0.0069629163
TEST_00055,0.4125869
TEST_00056,0.3206375
TEST_00057,0.21706061
TEST_00058,0.48816884
TEST_00059,0.21692514
TEST_00060,0.0068724
TEST_00061,0.18621582
TEST_00062,0.349861
TEST_00063,0.33267805
TEST_00064,0.2234595
TEST_00065,0.006312556
TEST_00066,0.2863936
TEST_00067,0.22970577
TEST_00068,0.2860049
TEST_00069,0.46434024
TEST_00070,0.39419305
TEST_00071,0.3235889
TEST_00072,0.23218071
TEST_00073,0.26138452
TEST_00074,0.1495711
TEST_00075,0.22837836
TEST_00076,0.033519786
TEST_00077,0.0061127334
TEST_00078,0.12833369
TEST_00079,0.21193187
TEST_00080,0.33246037
TEST_00081,0.006087689
TEST_00082,0.23805237
TEST_00083,0.17583509
TEST_00084,0.43347946
TEST_00085,0.37943068
TEST_00086,0.00612713
TEST_00087,0.38981476
TEST_00088,0.11817024
TEST_00089,0.38545167
TEST_00090,0.2366515
TEST_00091,0.12177301
TEST_00092,0.4013112
TEST_00093,0.52392095
TEST_00094,0.006061144
TEST_00095,0.0061429716
TEST_00096,0.44940066
TEST_00097,0.12004909
TEST_00098,0.39859065
TEST_00099,0.29866067
TEST_00100,0.1270266
TEST_00101,0.18704535
TEST_00102,0.3719952
TEST_00103,0.31306466
TEST_00104,0.36589983
TEST_00105,0.47083378
TEST_00106,0.24317203
TEST_00107,0.0066223615
TEST_00108,0.34785548
TEST_00109,0.0066328663
