ID,probability
TEST_00000,0.0005489735
TEST_00001,0.0005867637
TEST_00002,0.15948015
TEST_00003,0.107651755
TEST_00004,0.51850086
TEST_00005,0.13152184
TEST_00006,0.4459811
TEST_00007,0.36457825
TEST_00008,0.28388333
TEST_00009,0.00028841803
TEST_00010,0.049657173
TEST_00011,0.45883346
TEST_00012,0.3686908
TEST_00013,0.40701878
TEST_00014,0.33552334
TEST_00015,0.0004025833
TEST_00016,0.22828679
TEST_00017,0.36721775
TEST_00018,0.18938592
TEST_00019,0.71039075
TEST_00020,0.26231533
TEST_00021,0.38812822
TEST_00022,0.27143356
TEST_00023,0.20242053
TEST_00024,0.4070761
TEST_00025,0.0004953688
TEST_00026,0.10562003
TEST_00027,0.45050082
TEST_00028,0.17334586
TEST_00029,0.17690215
TEST_00030,0.421728
TEST_00031,0.18462463
TEST_00032,0.15411063
TEST_00033,0.17295377
TEST_00034,0.4127939
TEST_00035,0.00041941254
TEST_00036,0.1223263
TEST_00037,0.31888798
TEST_00038,0.2769989
TEST_00039,0.0067682057
TEST_00040,0.20095794
TEST_00041,0.1378491
TEST_00042,0.31531364
TEST_00043,0.29252824
TEST_00044,0.30801216
TEST_00045,0.53578836
TEST_00046,0.52469695
TEST_00047,0.22487882
TEST_00048,0.12302246
TEST_00049,0.38864484
TEST_00050,0.23657583
TEST_00051,0.15887931
TEST_00052,0.13083115
TEST_00053,0.56655526
TEST_00054,0.003011294
TEST_00055,0.41994932
TEST_00056,0.33190778
TEST_00057,0.21409577
TEST_00058,0.52232987
TEST_00059,0.18803322
TEST_00060,0.0017769142
TEST_00061,0.16717616
TEST_00062,0.32695714
TEST_00063,0.32260004
TEST_00064,0.23039581
TEST_00065,0.0020395964
TEST_00066,0.25733674
TEST_00067,0.19330978
TEST_00068,0.2767711
TEST_00069,0.45998216
TEST_00070,0.39797622
TEST_00071,0.364874
TEST_00072,0.21501684
TEST_00073,0.28051606
TEST_00074,0.13904287
TEST_00075,0.24732943
TEST_00076,0.010422261
TEST_00077,0.0007781757
TEST_00078,0.12747589
TEST_00079,0.20021497
TEST_00080,0.3399369
TEST_00081,0.0002147931
TEST_00082,0.21585542
TEST_00083,0.1713288
TEST_00084,0.46264097
TEST_00085,0.41697744
TEST_00086,0.00031044293
TEST_00087,0.3780146
TEST_00088,0.10111956
TEST_00089,0.37608218
TEST_00090,0.23618083
TEST_00091,0.103611454
TEST_00092,0.35454905
TEST_00093,0.56174517
TEST_00094,0.0002965596
TEST_00095,0.0003661652
TEST_00096,0.43901062
TEST_00097,0.105498835
TEST_00098,0.38472292
TEST_00099,0.28314877
TEST_00100,0.11664121
TEST_00101,0.17943525
TEST_00102,0.3727891
TEST_00103,0.30387968
TEST_00104,0.35146797
TEST_00105,0.4626029
TEST_00106,0.25790104
TEST_00107,0.0007732346
TEST_00108,0.3232594
TEST_00109,0.0003277052
TEST_00110,0.4371411
TEST_00111,0.36653998
TEST_00112,0.01061027
TEST_00113,0.3703118
TEST_00114,0.13813066
TEST_00115,0.4129663
TEST_00116,0.0004173991
TEST_00117,0.47586808
TEST_00118,0.33173102
TEST_00119,0.15954296
TEST_00120,0.00065509294
TEST_00121,0.0003366062
TEST_00122,0.31480274
TEST_00123,0.52318573
TEST_00124,0.42012924
TEST_00125,0.29029864
TEST_00126,0.0029700778
TEST_00127,0.05515007
TEST_00128,0.29104874
TEST_00129,0.4229643
TEST_00130,0.22023046
TEST_00131,0.39072314
TEST_00132,0.000297666
TEST_00133,0.25946635
TEST_00134,0.37052122
TEST_00135,0.00040145387
TEST_00136,0.18740083
TEST_00137,0.24296023
TEST_00138,0.078269035
TEST_00139,0.25033838
TEST_00140,0.012411692
TEST_00141,0.0013712934
TEST_00142,0.30901468
TEST_00143,0.0009066478
TEST_00144,0.12979284
TEST_00145,0.46251145
TEST_00146,0.1449472
TEST_00147,0.2203259
TEST_00148,0.2646683
TEST_00149,0.43699297
TEST_00150,0.00037817543
TEST_00151,0.0006156813
TEST_00152,0.38546857
TEST_00153,0.27610633
TEST_00154,0.021508237
TEST_00155,0.23303792
TEST_00156,0.42396933
TEST_00157,0.34468356
TEST_00158,0.47149962
TEST_00159,0.3403577
TEST_00160,0.39923343
TEST_00161,0.50410336
TEST_00162,0.31658366
TEST_00163,0.0036483246
TEST_00164,0.54978347
TEST_00165,0.2371227
TEST_00166,0.37321994
TEST_00167,0.21494973
TEST_00168,0.3674136
TEST_00169,0.16547348
TEST_00170,0.21955062
TEST_00171,0.22474967
TEST_00172,0.24165937
TEST_00173,0.24518435
TEST_00174,0.13445024
TEST_00175,0.2823698
TEST_00176,0.43578646
TEST_00177,0.18834613
TEST_00178,0.37997392
TEST_00179,0.29220212
TEST_00180,0.3393717
TEST_00181,0.43917686
TEST_00182,0.16668372
TEST_00183,0.57810384
TEST_00184,0.11870335
TEST_00185,0.20421101
TEST_00186,0.33562568
TEST_00187,0.2586594
TEST_00188,0.3224271
TEST_00189,0.28406125
TEST_00190,0.4303176
TEST_00191,0.23520972
TEST_00192,0.28353915
TEST_00193,0.052717667
TEST_00194,0.66860384
TEST_00195,0.37580836
TEST_00196,0.42889667
TEST_00197,0.26030812
TEST_00198,0.26903212
TEST_00199,0.3305843
TEST_00200,0.42027584
TEST_00201,0.45623845
TEST_00202,0.27019516
TEST_00203,0.28598192
TEST_00204,0.00041151527
TEST_00205,0.046029255
TEST_00206,0.0011075141
TEST_00207,0.2878867
TEST_00208,0.21261428
TEST_00209,0.2831236
TEST_00210,0.42854548
TEST_00211,0.13373725
TEST_00212,0.16863778
TEST_00213,0.1548764
TEST_00214,0.34441236
TEST_00215,0.26650372
TEST_00216,0.3759066
TEST_00217,0.2846678
TEST_00218,0.5360666
TEST_00219,0.22332184
TEST_00220,0.58786136
TEST_00221,0.42301887
TEST_00222,0.09794232
TEST_00223,0.27354982
TEST_00224,0.120912984
TEST_00225,0.30298296
TEST_00226,0.22582681
TEST_00227,0.335504
TEST_00228,0.00039292366
TEST_00229,0.32108498
TEST_00230,0.2748616
TEST_00231,0.37724203
TEST_00232,0.21052834
TEST_00233,0.31409803
TEST_00234,0.3858386
TEST_00235,0.49225754
TEST_00236,0.31533247
TEST_00237,0.0004063681
TEST_00238,0.00081165985
TEST_00239,0.40258864
TEST_00240,0.2889251
TEST_00241,0.39208037
TEST_00242,0.29988807
TEST_00243,0.18507054
TEST_00244,0.00046105025
TEST_00245,0.53166497
TEST_00246,0.3642561
TEST_00247,0.108706325
TEST_00248,0.35677838
TEST_00249,0.49030635
TEST_00250,0.21341431
TEST_00251,0.00031629848
TEST_00252,0.41819364
TEST_00253,0.012574182
TEST_00254,0.36554548
TEST_00255,0.55856043
TEST_00256,0.3655149
TEST_00257,0.3520707
TEST_00258,0.40353927
TEST_00259,0.50298566
TEST_00260,0.00039620846
TEST_00261,0.0004614224
TEST_00262,0.00038512112
TEST_00263,0.5235137
TEST_00264,0.22319841
TEST_00265,0.32555744
TEST_00266,0.1769047
TEST_00267,0.00048001896
TEST_00268,0.21055345
TEST_00269,0.37390333
TEST_00270,0.16481477
TEST_00271,0.00152347
TEST_00272,0.25036132
TEST_00273,0.2432185
TEST_00274,0.25605202
TEST_00275,0.052322898
TEST_00276,0.00029196596
TEST_00277,0.26502746
TEST_00278,0.3666705
TEST_00279,0.52426946
TEST_00280,0.0105508575
TEST_00281,0.12508789
TEST_00282,0.00070622115
TEST_00283,0.00029289522
TEST_00284,0.39913663
TEST_00285,0.28972128
TEST_00286,0.058391586
TEST_00287,0.50843704
TEST_00288,0.00071747054
TEST_00289,0.36332405
TEST_00290,0.16719711
TEST_00291,0.2881288
TEST_00292,0.4172015
