ID,probability
TEST_00000,0.0005691303
TEST_00001,0.0006733817
TEST_00002,0.16019267
TEST_00003,0.10353905
TEST_00004,0.49570966
TEST_00005,0.123146966
TEST_00006,0.44860986
TEST_00007,0.33560064
TEST_00008,0.27892578
TEST_00009,0.00030772106
TEST_00010,0.048767705
TEST_00011,0.45453462
TEST_00012,0.37914371
TEST_00013,0.4231093
TEST_00014,0.31422466
TEST_00015,0.00062025886
TEST_00016,0.24530996
TEST_00017,0.36076343
TEST_00018,0.20504878
TEST_00019,0.6997035
TEST_00020,0.2577124
TEST_00021,0.39043608
TEST_00022,0.27355516
TEST_00023,0.21451566
TEST_00024,0.40229133
TEST_00025,0.00053753174
TEST_00026,0.08401043
TEST_00027,0.43693033
TEST_00028,0.17803147
TEST_00029,0.18413718
TEST_00030,0.44123593
TEST_00031,0.17738776
TEST_00032,0.1617954
TEST_00033,0.17585915
TEST_00034,0.4052083
TEST_00035,0.00037937824
TEST_00036,0.12971057
TEST_00037,0.31144843
TEST_00038,0.2723818
TEST_00039,0.010770571
TEST_00040,0.19208811
TEST_00041,0.13507043
TEST_00042,0.31013432
TEST_00043,0.29629603
TEST_00044,0.31018555
TEST_00045,0.5294845
TEST_00046,0.5171188
TEST_00047,0.2246818
TEST_00048,0.12339064
TEST_00049,0.39375553
TEST_00050,0.23516004
TEST_00051,0.11905841
TEST_00052,0.115335606
TEST_00053,0.6074148
TEST_00054,0.0023386034
TEST_00055,0.41563654
TEST_00056,0.32114762
TEST_00057,0.21184494
TEST_00058,0.5169947
TEST_00059,0.17754596
TEST_00060,0.00096843863
TEST_00061,0.16661082
TEST_00062,0.31471363
TEST_00063,0.3315163
TEST_00064,0.23533705
TEST_00065,0.002351891
TEST_00066,0.25976732
TEST_00067,0.18980484
TEST_00068,0.28373778
TEST_00069,0.4737681
TEST_00070,0.38738698
TEST_00071,0.36139187
TEST_00072,0.20721032
TEST_00073,0.23723589
TEST_00074,0.13759133
TEST_00075,0.24905883
TEST_00076,0.0071849115
TEST_00077,0.001310225
TEST_00078,0.121402055
TEST_00079,0.196144
TEST_00080,0.35261056
TEST_00081,0.00018003555
TEST_00082,0.20966119
TEST_00083,0.16608018
TEST_00084,0.44084665
TEST_00085,0.3954847
TEST_00086,0.00036694232
TEST_00087,0.38489366
TEST_00088,0.083710305
TEST_00089,0.3736975
TEST_00090,0.24636905
TEST_00091,0.09405941
TEST_00092,0.3353111
TEST_00093,0.5673154
TEST_00094,0.00038306223
TEST_00095,0.0004454606
TEST_00096,0.44972846
TEST_00097,0.104793966
TEST_00098,0.3900171
TEST_00099,0.27012625
TEST_00100,0.08098408
TEST_00101,0.17550328
TEST_00102,0.35801774
TEST_00103,0.28510723
TEST_00104,0.3573034
TEST_00105,0.47351608
TEST_00106,0.2676197
TEST_00107,0.00042140996
TEST_00108,0.33631995
TEST_00109,0.00042341385
TEST_00110,0.4245943
TEST_00111,0.39118946
TEST_00112,0.012591237
TEST_00113,0.36602303
TEST_00114,0.14543894
TEST_00115,0.41466957
TEST_00116,0.00040194325
TEST_00117,0.46128824
TEST_00118,0.34087846
TEST_00119,0.15622282
TEST_00120,0.0007842309
TEST_00121,0.00041531696
TEST_00122,0.30539876
TEST_00123,0.51354665
TEST_00124,0.41961578
TEST_00125,0.2828495
TEST_00126,0.0017197782
TEST_00127,0.054879274
TEST_00128,0.27346778
TEST_00129,0.41935802
TEST_00130,0.22306255
TEST_00131,0.3978913
TEST_00132,0.00040419027
TEST_00133,0.26412863
TEST_00134,0.378803
TEST_00135,0.0009339035
TEST_00136,0.18811594
TEST_00137,0.23986115
TEST_00138,0.07454092
TEST_00139,0.24437039
TEST_00140,0.012119947
TEST_00141,0.0012258914
TEST_00142,0.3040231
TEST_00143,0.0018590771
TEST_00144,0.13035116
TEST_00145,0.50403243
TEST_00146,0.13555412
TEST_00147,0.22630626
TEST_00148,0.23454198
TEST_00149,0.42623454
TEST_00150,0.0006000655
TEST_00151,0.0010911344
TEST_00152,0.3838931
TEST_00153,0.2911244
TEST_00154,0.021023411
