ID,probability
TEST_00000,0.0008222257
TEST_00001,0.0006377873
TEST_00002,0.15807499
TEST_00003,0.10888933
TEST_00004,0.5120104
TEST_00005,0.12652646
TEST_00006,0.44293222
TEST_00007,0.38038558
TEST_00008,0.304334
TEST_00009,0.00032307283
TEST_00010,0.05074365
TEST_00011,0.4535276
TEST_00012,0.37772524
TEST_00013,0.41574895
TEST_00014,0.3529076
TEST_00015,0.00043408104
TEST_00016,0.22714949
TEST_00017,0.37642434
TEST_00018,0.18117343
TEST_00019,0.695152
TEST_00020,0.26480994
TEST_00021,0.38489053
TEST_00022,0.26865318
TEST_00023,0.21107824
TEST_00024,0.40528372
TEST_00025,0.00050448184
TEST_00026,0.10422
TEST_00027,0.47700185
TEST_00028,0.17271861
TEST_00029,0.16852517
TEST_00030,0.42544103
TEST_00031,0.18297544
TEST_00032,0.15811206
TEST_00033,0.17855917
TEST_00034,0.41473895
TEST_00035,0.0004790111
TEST_00036,0.121582486
TEST_00037,0.32410246
TEST_00038,0.28216964
TEST_00039,0.016860273
TEST_00040,0.18823984
TEST_00041,0.13571781
TEST_00042,0.3093995
TEST_00043,0.29887924
TEST_00044,0.3134163
TEST_00045,0.5191386
TEST_00046,0.504038
TEST_00047,0.2244644
TEST_00048,0.12194338
TEST_00049,0.39199644
TEST_00050,0.24540605
TEST_00051,0.15328072
TEST_00052,0.1308291
TEST_00053,0.5968296
TEST_00054,0.002550813
TEST_00055,0.42273295
TEST_00056,0.32483524
TEST_00057,0.21410373
TEST_00058,0.52084064
TEST_00059,0.18447566
TEST_00060,0.0020012294
TEST_00061,0.16860756
TEST_00062,0.3288379
TEST_00063,0.3246366
TEST_00064,0.22063284
TEST_00065,0.0019207717
TEST_00066,0.26841924
TEST_00067,0.19419977
TEST_00068,0.28431082
TEST_00069,0.46328762
TEST_00070,0.3898832
TEST_00071,0.37313926
TEST_00072,0.21217482
TEST_00073,0.2682825
TEST_00074,0.12982416
TEST_00075,0.25608498
TEST_00076,0.012902181
TEST_00077,0.00082049525
TEST_00078,0.13190272
TEST_00079,0.20014839
TEST_00080,0.35667342
