ID,probability
TEST_00000,0.0007333698
TEST_00001,0.0012215733
TEST_00002,0.15273157
TEST_00003,0.09952014
TEST_00004,0.50359833
TEST_00005,0.116292216
TEST_00006,0.448386
TEST_00007,0.3613842
TEST_00008,0.29361632
TEST_00009,0.00053504645
TEST_00010,0.048365086
TEST_00011,0.45099258
TEST_00012,0.3798929
TEST_00013,0.41726094
TEST_00014,0.32479864
TEST_00015,0.00088023336
TEST_00016,0.17456776
TEST_00017,0.35474798
TEST_00018,0.1844386
TEST_00019,0.72731024
TEST_00020,0.25489566
TEST_00021,0.40476745
TEST_00022,0.27140033
TEST_00023,0.20753598
TEST_00024,0.39122203
TEST_00025,0.0009146158
TEST_00026,0.14069389
TEST_00027,0.44162977
TEST_00028,0.17058992
TEST_00029,0.18400651
TEST_00030,0.44230145
TEST_00031,0.1894761
TEST_00032,0.15512693
TEST_00033,0.17978571
TEST_00034,0.40218094
TEST_00035,0.0008344809
TEST_00036,0.12522052
TEST_00037,0.29189694
TEST_00038,0.2809193
TEST_00039,0.0061637843
TEST_00040,0.20339869
TEST_00041,0.13960837
TEST_00042,0.309446
TEST_00043,0.30003744
TEST_00044,0.3142759
TEST_00045,0.5697521
TEST_00046,0.5041918
TEST_00047,0.23797049
TEST_00048,0.11764608
TEST_00049,0.38836515
TEST_00050,0.26548252
TEST_00051,0.22178613
TEST_00052,0.11721788
TEST_00053,0.5962899
TEST_00054,0.0024234913
TEST_00055,0.39585966
TEST_00056,0.3408662
TEST_00057,0.21000472
TEST_00058,0.5273855
TEST_00059,0.18434042
TEST_00060,0.0018244601
TEST_00061,0.15962781
TEST_00062,0.3254554
TEST_00063,0.3405326
TEST_00064,0.22018847
TEST_00065,0.0023661882
TEST_00066,0.27049807
TEST_00067,0.18211609
TEST_00068,0.28924575
TEST_00069,0.47001427
TEST_00070,0.39853278
TEST_00071,0.38186893
TEST_00072,0.21979663
TEST_00073,0.2592372
TEST_00074,0.13682665
TEST_00075,0.2565516
TEST_00076,0.0089739505
TEST_00077,0.0016334311
TEST_00078,0.117981456
TEST_00079,0.19921625
TEST_00080,0.3398987
TEST_00081,0.00074458576
TEST_00082,0.20767318
TEST_00083,0.16626346
TEST_00084,0.43449906
TEST_00085,0.38714698
