ID,probability
TEST_00000,0.00063242344
TEST_00001,0.0014965734
TEST_00002,0.14778233
TEST_00003,0.1013245
TEST_00004,0.5113167
TEST_00005,0.120871015
TEST_00006,0.45297804
TEST_00007,0.32699493
TEST_00008,0.2853434
TEST_00009,0.00060498033
TEST_00010,0.048119623
TEST_00011,0.45084244
TEST_00012,0.375031
TEST_00013,0.4232583
TEST_00014,0.30614957
TEST_00015,0.0011636263
TEST_00016,0.23089616
TEST_00017,0.34970006
TEST_00018,0.23402214
TEST_00019,0.72267324
TEST_00020,0.25599924
TEST_00021,0.40034178
TEST_00022,0.26921532
TEST_00023,0.20928426
TEST_00024,0.39604264
TEST_00025,0.0009701383
TEST_00026,0.11560845
TEST_00027,0.43462393
TEST_00028,0.1775579
TEST_00029,0.18384533
TEST_00030,0.43721673
TEST_00031,0.17379136
TEST_00032,0.15843655
TEST_00033,0.17515053
TEST_00034,0.40272078
TEST_00035,0.0008213111
TEST_00036,0.12606241
TEST_00037,0.30477616
TEST_00038,0.27481616
TEST_00039,0.0059127896
TEST_00040,0.20719905
TEST_00041,0.13283105
TEST_00042,0.30983248
TEST_00043,0.29991186
TEST_00044,0.31701708
TEST_00045,0.56234264
TEST_00046,0.5028691
TEST_00047,0.23852839
TEST_00048,0.12692615
TEST_00049,0.38932744
TEST_00050,0.25399634
TEST_00051,0.20051764
TEST_00052,0.11893987
TEST_00053,0.58298707
TEST_00054,0.0022214625
TEST_00055,0.40995863
TEST_00056,0.31493288
TEST_00057,0.21334948
TEST_00058,0.52127427
TEST_00059,0.17613307
TEST_00060,0.0018657127
TEST_00061,0.16300727
TEST_00062,0.322363
TEST_00063,0.33154428
TEST_00064,0.20242015
TEST_00065,0.0020701045
TEST_00066,0.26527902
TEST_00067,0.18372564
TEST_00068,0.28513518
TEST_00069,0.47161132
TEST_00070,0.40713334
TEST_00071,0.37633258
TEST_00072,0.22189713
TEST_00073,0.25838742
TEST_00074,0.13397916
TEST_00075,0.25501943
TEST_00076,0.00812583
TEST_00077,0.0014850787
TEST_00078,0.11992785
TEST_00079,0.2047783
TEST_00080,0.35218158
TEST_00081,0.00063681084
TEST_00082,0.21390107
TEST_00083,0.16878544
TEST_00084,0.43471295
TEST_00085,0.38262454
TEST_00086,0.0006514523
TEST_00087,0.3868632
TEST_00088,0.10639303
TEST_00089,0.38303193
TEST_00090,0.23734997
TEST_00091,0.09629579
TEST_00092,0.3218454
TEST_00093,0.56899333
TEST_00094,0.0006209639
TEST_00095,0.00080242957
TEST_00096,0.46198434
TEST_00097,0.10580023
TEST_00098,0.37921378
TEST_00099,0.28120834
TEST_00100,0.057422444
TEST_00101,0.22348167
TEST_00102,0.36747795
TEST_00103,0.286551
TEST_00104,0.3447931
TEST_00105,0.4749107
TEST_00106,0.28068602
TEST_00107,0.0008135647
TEST_00108,0.3337767
TEST_00109,0.0008003047
TEST_00110,0.43167487
TEST_00111,0.39513043
TEST_00112,0.014135532
TEST_00113,0.37250072
TEST_00114,0.16713624
TEST_00115,0.41153607
TEST_00116,0.0008795652
TEST_00117,0.45687565
TEST_00118,0.33209822
TEST_00119,0.1276016
TEST_00120,0.0013385281
TEST_00121,0.0007399409
TEST_00122,0.3057461
TEST_00123,0.51747453
TEST_00124,0.42001078
TEST_00125,0.2840891
TEST_00126,0.0022828334
TEST_00127,0.056122005
TEST_00128,0.27551332
TEST_00129,0.41095993
TEST_00130,0.22844723
TEST_00131,0.39933932
TEST_00132,0.0009142975
TEST_00133,0.2616899
TEST_00134,0.37265
TEST_00135,0.001103436
TEST_00136,0.18232808
TEST_00137,0.24695209
TEST_00138,0.08139499
TEST_00139,0.2527849
TEST_00140,0.013703005
TEST_00141,0.0017057484
TEST_00142,0.30393493
TEST_00143,0.002355984
TEST_00144,0.13612656
TEST_00145,0.487113
TEST_00146,0.17477165
TEST_00147,0.222855
TEST_00148,0.23673837
