ID,probability
TEST_00000,0.00076927315
TEST_00001,0.0011220408
TEST_00002,0.15379228
TEST_00003,0.101645954
TEST_00004,0.5221655
TEST_00005,0.11843206
TEST_00006,0.4465561
TEST_00007,0.35164735
TEST_00008,0.29936793
TEST_00009,0.0004604738
TEST_00010,0.048636623
TEST_00011,0.451497
TEST_00012,0.3716096
TEST_00013,0.41705734
TEST_00014,0.32636532
TEST_00015,0.0009512822
TEST_00016,0.18167916
TEST_00017,0.3493524
TEST_00018,0.1839978
TEST_00019,0.73829514
TEST_00020,0.2545861
TEST_00021,0.40654784
TEST_00022,0.27193317
TEST_00023,0.2056673
TEST_00024,0.3899707
TEST_00025,0.0008627923
TEST_00026,0.121035255
TEST_00027,0.45375365
TEST_00028,0.16371022
TEST_00029,0.18213423
TEST_00030,0.43863186
TEST_00031,0.19104517
TEST_00032,0.14983098
TEST_00033,0.18369974
TEST_00034,0.3960291
TEST_00035,0.0007414003
TEST_00036,0.12228962
TEST_00037,0.29369304
TEST_00038,0.27037674
TEST_00039,0.0073280837
TEST_00040,0.20349623
TEST_00041,0.14262673
TEST_00042,0.3090121
TEST_00043,0.3006169
TEST_00044,0.31699628
TEST_00045,0.57898396
TEST_00046,0.5213007
TEST_00047,0.24129775
TEST_00048,0.124089986
TEST_00049,0.39517272
TEST_00050,0.257277
TEST_00051,0.21274535
TEST_00052,0.105002336
TEST_00053,0.61108804
TEST_00054,0.003245143
TEST_00055,0.3950579
TEST_00056,0.33724347
TEST_00057,0.21384114
TEST_00058,0.52241164
TEST_00059,0.18462521
TEST_00060,0.0018205427
TEST_00061,0.16347271
TEST_00062,0.30654386
TEST_00063,0.33663562
TEST_00064,0.22208309
TEST_00065,0.0023497036
TEST_00066,0.26895314
TEST_00067,0.17935571
TEST_00068,0.29262593
TEST_00069,0.46851137
TEST_00070,0.39592245
TEST_00071,0.3833414
TEST_00072,0.21584983
TEST_00073,0.2481159
TEST_00074,0.14090225
TEST_00075,0.25679168
TEST_00076,0.010058188
TEST_00077,0.0017822295
TEST_00078,0.11459977
TEST_00079,0.20651707
TEST_00080,0.34531498
TEST_00081,0.00093307416
TEST_00082,0.21103705
TEST_00083,0.16698653
TEST_00084,0.43310866
TEST_00085,0.37971598
TEST_00086,0.0005766961
TEST_00087,0.38906378
TEST_00088,0.11687205
TEST_00089,0.38357294
TEST_00090,0.23130766
TEST_00091,0.09651481
TEST_00092,0.3233807
TEST_00093,0.57146406
TEST_00094,0.0005351755
TEST_00095,0.0007705935
TEST_00096,0.4683329
TEST_00097,0.10712358
TEST_00098,0.36994338
TEST_00099,0.2769962
TEST_00100,0.06497629
TEST_00101,0.227228
TEST_00102,0.35661796
TEST_00103,0.2831945
TEST_00104,0.34206647
TEST_00105,0.4707601
TEST_00106,0.2668122
TEST_00107,0.0007851496
TEST_00108,0.3362933
TEST_00109,0.0010428752
TEST_00110,0.4261071
TEST_00111,0.38224602
TEST_00112,0.012871016
TEST_00113,0.37172535
TEST_00114,0.20749478
TEST_00115,0.41191974
TEST_00116,0.0007947789
TEST_00117,0.44809893
TEST_00118,0.33657488
TEST_00119,0.12673621
TEST_00120,0.0013367528
TEST_00121,0.00083270564
TEST_00122,0.31366852
TEST_00123,0.5196301
TEST_00124,0.4189553
TEST_00125,0.29064596
TEST_00126,0.0018319391
TEST_00127,0.049468715
TEST_00128,0.2708261
TEST_00129,0.40494925
TEST_00130,0.23207317
TEST_00131,0.40144703
TEST_00132,0.0010431564
TEST_00133,0.26278487
TEST_00134,0.37402537
TEST_00135,0.0008604951
TEST_00136,0.1756608
TEST_00137,0.22922888
TEST_00138,0.07898315
TEST_00139,0.25231138
TEST_00140,0.010935182
TEST_00141,0.0019909486
TEST_00142,0.30255955
TEST_00143,0.0018680984
TEST_00144,0.14094263
TEST_00145,0.44355416
TEST_00146,0.22238855
TEST_00147,0.22428139
TEST_00148,0.2273971
TEST_00149,0.43701673
TEST_00150,0.0012185206
TEST_00151,0.0013356908
TEST_00152,0.42337766
TEST_00153,0.28513128
TEST_00154,0.025632283
TEST_00155,0.23725839
TEST_00156,0.39610055
TEST_00157,0.3297973
TEST_00158,0.4645863
TEST_00159,0.33517388
TEST_00160,0.42723617
TEST_00161,0.50773096
TEST_00162,0.3223423
TEST_00163,0.0022980662
TEST_00164,0.55260015
TEST_00165,0.23773813
TEST_00166,0.35310915
TEST_00167,0.20880578
TEST_00168,0.3638503
TEST_00169,0.17372134
TEST_00170,0.21380886
TEST_00171,0.2360166
