ID,probability
TEST_00000,0.00053986645
TEST_00001,0.00040734687
TEST_00002,0.159752
TEST_00003,0.112017825
TEST_00004,0.53060293
TEST_00005,0.12929499
TEST_00006,0.457808
TEST_00007,0.3724074
TEST_00008,0.30851957
TEST_00009,0.00032602306
TEST_00010,0.050277498
TEST_00011,0.45262837
TEST_00012,0.3599785
TEST_00013,0.39194414
TEST_00014,0.32128072
TEST_00015,0.0004234076
TEST_00016,0.2262359
TEST_00017,0.35691902
TEST_00018,0.17589399
TEST_00019,0.6515355
TEST_00020,0.26793724
TEST_00021,0.39935184
TEST_00022,0.26848808
TEST_00023,0.19873826
TEST_00024,0.412168
TEST_00025,0.00031860676
TEST_00026,0.10436774
TEST_00027,0.4399563
TEST_00028,0.15817907
TEST_00029,0.1892356
TEST_00030,0.4274612
TEST_00031,0.17712544
TEST_00032,0.15034914
TEST_00033,0.17159142
TEST_00034,0.40770575
TEST_00035,0.0006793196
TEST_00036,0.12188484
TEST_00037,0.2963084
TEST_00038,0.28280303
TEST_00039,0.00107752
TEST_00040,0.18848397
TEST_00041,0.14020672
TEST_00042,0.3017266
TEST_00043,0.3078536
TEST_00044,0.32058877
TEST_00045,0.5330023
TEST_00046,0.5163828
TEST_00047,0.23695262
TEST_00048,0.12844549
TEST_00049,0.39257726
TEST_00050,0.27068025
TEST_00051,0.1535436
TEST_00052,0.12684841
TEST_00053,0.57103944
TEST_00054,0.0016941371
TEST_00055,0.401083
TEST_00056,0.34401157
TEST_00057,0.20128836
TEST_00058,0.51654905
TEST_00059,0.1832058
TEST_00060,0.0010095523
TEST_00061,0.16354536
TEST_00062,0.30618507
TEST_00063,0.32638556
TEST_00064,0.20520222
TEST_00065,0.0022339765
TEST_00066,0.28489557
TEST_00067,0.18472701
TEST_00068,0.3056806
TEST_00069,0.48225302
TEST_00070,0.3881008
TEST_00071,0.3742296
TEST_00072,0.23370987
TEST_00073,0.25663093
TEST_00074,0.13609654
TEST_00075,0.24211676
TEST_00076,0.008527857
TEST_00077,0.0009905989
TEST_00078,0.118820235
TEST_00079,0.19214937
TEST_00080,0.36830524
TEST_00081,0.0005951648
TEST_00082,0.22026673
TEST_00083,0.16652511
TEST_00084,0.46399838
TEST_00085,0.39967555
TEST_00086,0.00027874627
TEST_00087,0.39715546
TEST_00088,0.122614324
TEST_00089,0.38247183
TEST_00090,0.22984065
TEST_00091,0.10478947
TEST_00092,0.3661058
TEST_00093,0.56470084
TEST_00094,0.0003136027
TEST_00095,0.00039503217
TEST_00096,0.46274975
TEST_00097,0.114113905
TEST_00098,0.38712916
TEST_00099,0.28987724
TEST_00100,0.09791108
TEST_00101,0.19218619
TEST_00102,0.36566544
TEST_00103,0.31618702
TEST_00104,0.34930626
TEST_00105,0.47957408
TEST_00106,0.2648525
TEST_00107,0.004513971
TEST_00108,0.33358836
TEST_00109,0.00062359247
TEST_00110,0.41987857
TEST_00111,0.4021124
TEST_00112,0.011311338
TEST_00113,0.39359534
TEST_00114,0.19303647
TEST_00115,0.38575053
TEST_00116,0.0003581311
TEST_00117,0.46466672
TEST_00118,0.31853166
TEST_00119,0.16503091
TEST_00120,0.000640094
TEST_00121,0.0008521829
TEST_00122,0.33371085
TEST_00123,0.49535155
TEST_00124,0.40482962
TEST_00125,0.29594177
TEST_00126,0.0015474521
TEST_00127,0.05710583
TEST_00128,0.27986658
TEST_00129,0.38518873
TEST_00130,0.23866446
TEST_00131,0.39240587
TEST_00132,0.00068386656
TEST_00133,0.2705148
TEST_00134,0.3756197
TEST_00135,0.0010406604
TEST_00136,0.17273939
TEST_00137,0.23741409
TEST_00138,0.08288879
TEST_00139,0.2711433
TEST_00140,0.011532606
TEST_00141,0.001263678
TEST_00142,0.2976809
TEST_00143,0.00063285546
TEST_00144,0.15040717
TEST_00145,0.4964896
TEST_00146,0.16175456
TEST_00147,0.22296195
TEST_00148,0.2486062
TEST_00149,0.43673262
TEST_00150,0.00074367557
TEST_00151,0.0007210026
