ID,probability
TEST_00000,0.0008814503
TEST_00001,0.0021885107
TEST_00002,0.1540668
TEST_00003,0.109371014
TEST_00004,0.52451956
TEST_00005,0.13139509
TEST_00006,0.44967663
TEST_00007,0.35869053
TEST_00008,0.3038765
TEST_00009,0.00077714154
TEST_00010,0.04845607
TEST_00011,0.4593348
TEST_00012,0.35648286
TEST_00013,0.40052414
TEST_00014,0.29404995
TEST_00015,0.0016257472
TEST_00016,0.23670934
TEST_00017,0.3639861
TEST_00018,0.17859131
TEST_00019,0.6642336
TEST_00020,0.26645005
TEST_00021,0.39318904
TEST_00022,0.27018115
TEST_00023,0.1992337
TEST_00024,0.402417
TEST_00025,0.0009794533
TEST_00026,0.10615718
TEST_00027,0.47878772
TEST_00028,0.16642262
TEST_00029,0.1771492
TEST_00030,0.42396358
TEST_00031,0.18091848
TEST_00032,0.15774308
TEST_00033,0.16825302
TEST_00034,0.40439242
TEST_00035,0.0010566225
TEST_00036,0.12842712
TEST_00037,0.3062764
TEST_00038,0.27290744
TEST_00039,0.00073217356
TEST_00040,0.19976291
TEST_00041,0.1425543
TEST_00042,0.30996025
TEST_00043,0.29984275
TEST_00044,0.31299263
TEST_00045,0.50345796
TEST_00046,0.51742
TEST_00047,0.23929264
TEST_00048,0.12732796
TEST_00049,0.38820562
TEST_00050,0.2695453
TEST_00051,0.17546554
TEST_00052,0.12703045
TEST_00053,0.5913658
TEST_00054,0.0017981362
TEST_00055,0.4188953
TEST_00056,0.32952636
TEST_00057,0.20555247
TEST_00058,0.5229776
TEST_00059,0.17995901
TEST_00060,0.002347573
TEST_00061,0.16506411
TEST_00062,0.3431675
TEST_00063,0.3284107
TEST_00064,0.20832574
TEST_00065,0.0021574025
TEST_00066,0.27377304
TEST_00067,0.1924136
TEST_00068,0.282721
TEST_00069,0.46604607
TEST_00070,0.39797193
TEST_00071,0.3738091
TEST_00072,0.2245158
TEST_00073,0.2639068
TEST_00074,0.1347752
TEST_00075,0.24827231
TEST_00076,0.008250506
TEST_00077,0.0017547248
TEST_00078,0.12874463
TEST_00079,0.1949021
TEST_00080,0.3569234
TEST_00081,0.0008010597
TEST_00082,0.22057328
TEST_00083,0.1602228
TEST_00084,0.4483849
TEST_00085,0.39176208
TEST_00086,0.0007671319
TEST_00087,0.38648075
TEST_00088,0.105080895
TEST_00089,0.37659824
TEST_00090,0.22528431
TEST_00091,0.105176635
TEST_00092,0.37772566
TEST_00093,0.5786452
TEST_00094,0.000719712
TEST_00095,0.0008299208
TEST_00096,0.45028937
TEST_00097,0.1122254
TEST_00098,0.379557
TEST_00099,0.29217404
TEST_00100,0.091462664
TEST_00101,0.17317034
TEST_00102,0.37956038
TEST_00103,0.31379697
TEST_00104,0.3513632
TEST_00105,0.47120765
TEST_00106,0.26345357
TEST_00107,0.0020070462
TEST_00108,0.33790287
TEST_00109,0.0010660813
TEST_00110,0.42650267
TEST_00111,0.40903232
TEST_00112,0.011078375
TEST_00113,0.3760215
TEST_00114,0.17728305
TEST_00115,0.38309237
TEST_00116,0.0009980658
TEST_00117,0.47475943
TEST_00118,0.3316218
TEST_00119,0.16209546
TEST_00120,0.0011999661
TEST_00121,0.0011281816
TEST_00122,0.31604677
TEST_00123,0.5117498
TEST_00124,0.40572807
TEST_00125,0.29017055
TEST_00126,0.002475073
TEST_00127,0.057079095
TEST_00128,0.29541054
TEST_00129,0.40214464
TEST_00130,0.23308925
TEST_00131,0.3845178
TEST_00132,0.0009809906
TEST_00133,0.26401573
TEST_00134,0.37561154
TEST_00135,0.0012499266
TEST_00136,0.17867054
TEST_00137,0.24886334
TEST_00138,0.07857785
TEST_00139,0.2552813
TEST_00140,0.012213464
TEST_00141,0.001417576
TEST_00142,0.30954745
TEST_00143,0.0014850632
TEST_00144,0.14280254
TEST_00145,0.45842144
TEST_00146,0.13843665
TEST_00147,0.22344543
TEST_00148,0.24638914
TEST_00149,0.42099965
TEST_00150,0.0014177016
TEST_00151,0.0011056077
TEST_00152,0.4293377
TEST_00153,0.28772286
TEST_00154,0.022822402
TEST_00155,0.2257309
TEST_00156,0.4109319
TEST_00157,0.33704615
TEST_00158,0.48122105
TEST_00159,0.33187017
TEST_00160,0.40591666
TEST_00161,0.5118498
TEST_00162,0.31908596
TEST_00163,0.003442351
TEST_00164,0.54859453
TEST_00165,0.23177662
TEST_00166,0.38125262
TEST_00167,0.2135104
TEST_00168,0.36948425
TEST_00169,0.18770435
TEST_00170,0.2160966
TEST_00171,0.2343008
TEST_00172,0.2462667
TEST_00173,0.26093018
TEST_00174,0.13302451
TEST_00175,0.27469355
TEST_00176,0.436696
TEST_00177,0.18950093
TEST_00178,0.38953713
TEST_00179,0.32699618
TEST_00180,0.34256947
TEST_00181,0.4479592
TEST_00182,0.16062593
TEST_00183,0.5710616
TEST_00184,0.12858915
TEST_00185,0.2033205
TEST_00186,0.3318484
TEST_00187,0.25144035
TEST_00188,0.32416376
TEST_00189,0.28628132
TEST_00190,0.42934605
TEST_00191,0.21968076
TEST_00192,0.27965042
TEST_00193,0.055493478
TEST_00194,0.63827807
TEST_00195,0.3749841
TEST_00196,0.429644
TEST_00197,0.27294108
TEST_00198,0.2698003
TEST_00199,0.33765987
TEST_00200,0.4131345
TEST_00201,0.45337024
TEST_00202,0.27499756
TEST_00203,0.3130241
TEST_00204,0.0008751157
TEST_00205,0.0468314
TEST_00206,0.0012774738
TEST_00207,0.2670517
TEST_00208,0.20867383
TEST_00209,0.28601027
TEST_00210,0.4387466
TEST_00211,0.1367983
TEST_00212,0.16358227
TEST_00213,0.18836197
TEST_00214,0.35082301
TEST_00215,0.28164518
TEST_00216,0.35318068
TEST_00217,0.27212813
TEST_00218,0.52021855
TEST_00219,0.2066942
TEST_00220,0.56467605
TEST_00221,0.41630098
TEST_00222,0.094370365
TEST_00223,0.2751103
TEST_00224,0.12072705
TEST_00225,0.31303284
TEST_00226,0.2089332
TEST_00227,0.33904615
TEST_00228,0.0015199735
TEST_00229,0.32756424
TEST_00230,0.29753548
TEST_00231,0.37293532
TEST_00232,0.22943029
TEST_00233,0.3094883
TEST_00234,0.37697807
TEST_00235,0.49840945
TEST_00236,0.32119235
TEST_00237,0.00091668876
TEST_00238,0.0013383368
TEST_00239,0.409745
TEST_00240,0.29498488
TEST_00241,0.39495954
TEST_00242,0.30221868
TEST_00243,0.18054003
TEST_00244,0.0011674928
TEST_00245,0.5561203
TEST_00246,0.37328854
TEST_00247,0.11418941
TEST_00248,0.3679735
TEST_00249,0.47948286
TEST_00250,0.21269412
TEST_00251,0.0006839735
TEST_00252,0.42735884
TEST_00253,0.011606745
TEST_00254,0.36566114
TEST_00255,0.5493763
TEST_00256,0.37156713
TEST_00257,0.36041138
TEST_00258,0.4052417
TEST_00259,0.53449285
TEST_00260,0.0009977624
TEST_00261,0.0009092154
TEST_00262,0.0015139111
TEST_00263,0.52184534
TEST_00264,0.22948682
TEST_00265,0.32698923
TEST_00266,0.17335682
TEST_00267,0.0012960833
TEST_00268,0.22597669
TEST_00269,0.35956106
TEST_00270,0.15579198
TEST_00271,0.0012610886
TEST_00272,0.2824632
TEST_00273,0.24758466
TEST_00274,0.25821552
TEST_00275,0.053771235
TEST_00276,0.0008785625
TEST_00277,0.26848614
TEST_00278,0.35886562
TEST_00279,0.5163781
TEST_00280,0.0037542793
TEST_00281,0.13424079
TEST_00282,0.0012786071
TEST_00283,0.0013525016
TEST_00284,0.3926365
TEST_00285,0.26494035
TEST_00286,0.059285622
TEST_00287,0.51261115
TEST_00288,0.0020344646
TEST_00289,0.36785802
TEST_00290,0.16858393
TEST_00291,0.2759544
TEST_00292,0.43163756
TEST_00293,0.0010591575
TEST_00294,0.4265049
TEST_00295,0.3125662
TEST_00296,0.019987455
