ID,probability
TEST_00000,0.0023838424
TEST_00001,0.0039167763
TEST_00002,0.18444213
TEST_00003,0.17974316
TEST_00004,0.61809415
TEST_00005,0.19045028
TEST_00006,0.56906945
TEST_00007,0.5317977
TEST_00008,0.3540611
TEST_00009,0.0019710811
TEST_00010,0.07558133
TEST_00011,0.57130915
TEST_00012,0.4825705
TEST_00013,0.48815706
TEST_00014,0.3926457
TEST_00015,0.002973306
TEST_00016,0.32495028
TEST_00017,0.47527418
TEST_00018,0.31799978
TEST_00019,0.79655665
TEST_00020,0.3500249
TEST_00021,0.4808538
TEST_00022,0.41739982
TEST_00023,0.30545446
TEST_00024,0.51670957
TEST_00025,0.0022253108
TEST_00026,0.20549451
TEST_00027,0.60247964
TEST_00028,0.22938423
TEST_00029,0.232661
TEST_00030,0.5101625
TEST_00031,0.26400453
TEST_00032,0.21020064
TEST_00033,0.22803548
TEST_00034,0.48876876
TEST_00035,0.002372887
TEST_00036,0.20920314
TEST_00037,0.42907286
TEST_00038,0.27734864
TEST_00039,0.006483412
TEST_00040,0.22118138
TEST_00041,0.17624193
TEST_00042,0.41530278
TEST_00043,0.39780712
TEST_00044,0.3986832
TEST_00045,0.5487821
TEST_00046,0.5805174
TEST_00047,0.3020939
TEST_00048,0.19699988
TEST_00049,0.49355042
TEST_00050,0.35429755
TEST_00051,0.30276793
TEST_00052,0.18810046
TEST_00053,0.63987184
TEST_00054,0.002802939
TEST_00055,0.52220803
TEST_00056,0.37227115
TEST_00057,0.29217127
TEST_00058,0.640328
TEST_00059,0.24605611
TEST_00060,0.0057363054
TEST_00061,0.24339335
TEST_00062,0.4449061
TEST_00063,0.42825425
TEST_00064,0.2514104
TEST_00065,0.0028496264
TEST_00066,0.38159037
TEST_00067,0.32760835
TEST_00068,0.4068552
TEST_00069,0.5737129
TEST_00070,0.49791637
TEST_00071,0.43710428
TEST_00072,0.30873728
TEST_00073,0.37534755
TEST_00074,0.19284274
TEST_00075,0.31710148
TEST_00076,0.009220385
TEST_00077,0.0026390974
TEST_00078,0.17336336
TEST_00079,0.2798592
TEST_00080,0.46291384
TEST_00081,0.0018730788
TEST_00082,0.30919284
TEST_00083,0.17870381
TEST_00084,0.5080797
TEST_00085,0.48879477
TEST_00086,0.002057441
TEST_00087,0.48909578
TEST_00088,0.18377104
TEST_00089,0.49279368
TEST_00090,0.3092327
TEST_00091,0.11371147
TEST_00092,0.45418185
TEST_00093,0.6510019
TEST_00094,0.0018969136
TEST_00095,0.0019556568
TEST_00096,0.5459735
TEST_00097,0.17769574
TEST_00098,0.48627424
TEST_00099,0.39523137
TEST_00100,0.098130286
TEST_00101,0.23098272
TEST_00102,0.51394176
TEST_00103,0.41958
TEST_00104,0.42181128
TEST_00105,0.58464515
TEST_00106,0.36641517
TEST_00107,0.0040530595
TEST_00108,0.4433227
TEST_00109,0.0027846552
TEST_00110,0.5172013
TEST_00111,0.46831656
TEST_00112,0.027761208
TEST_00113,0.49126384
TEST_00114,0.28444326
TEST_00115,0.42743248
TEST_00116,0.0041696187
TEST_00117,0.57676256
TEST_00118,0.4132459
TEST_00119,0.23257494
TEST_00120,0.0024281207
TEST_00121,0.0028427136
TEST_00122,0.4263214
TEST_00123,0.5921295
TEST_00124,0.4977105
TEST_00125,0.3366274
TEST_00126,0.0054433392
TEST_00127,0.105979435
TEST_00128,0.38955382
TEST_00129,0.50608504
TEST_00130,0.33786127
TEST_00131,0.5010678
TEST_00132,0.0024177595
TEST_00133,0.37916005
TEST_00134,0.46883526
TEST_00135,0.0025499188
TEST_00136,0.2618415
TEST_00137,0.32806286
TEST_00138,0.10874998
TEST_00139,0.3300351
TEST_00140,0.024068942
TEST_00141,0.0033737668
TEST_00142,0.41220254
TEST_00143,0.008656101
TEST_00144,0.16809279
TEST_00145,0.60381746
TEST_00146,0.23253837
TEST_00147,0.30030143
TEST_00148,0.33445212
TEST_00149,0.49315384
TEST_00150,0.0028165327
TEST_00151,0.0022638158
TEST_00152,0.54967386
TEST_00153,0.3974963
TEST_00154,0.043755814
TEST_00155,0.30317315
TEST_00156,0.512412
TEST_00157,0.44807178
TEST_00158,0.5399182
TEST_00159,0.43859568
TEST_00160,0.53402597
TEST_00161,0.53974676
TEST_00162,0.39310864
TEST_00163,0.0054312716
TEST_00164,0.64538795
TEST_00165,0.3274295
TEST_00166,0.48784375
TEST_00167,0.26662636
TEST_00168,0.47026116
TEST_00169,0.3044921
TEST_00170,0.2780217
TEST_00171,0.2867807
TEST_00172,0.34733388
TEST_00173,0.37373188
TEST_00174,0.20289166
TEST_00175,0.38539922
TEST_00176,0.5714526
TEST_00177,0.29323468
TEST_00178,0.4555444
TEST_00179,0.41938302
TEST_00180,0.53528523
TEST_00181,0.5554191
TEST_00182,0.20780493
TEST_00183,0.6818721
TEST_00184,0.17742287
TEST_00185,0.30464563
TEST_00186,0.38986963
TEST_00187,0.32409012
TEST_00188,0.44861194
TEST_00189,0.39729744
TEST_00190,0.5463956
TEST_00191,0.30008146
TEST_00192,0.39250323
TEST_00193,0.09984486
TEST_00194,0.7370002
TEST_00195,0.51841
TEST_00196,0.54664177
TEST_00197,0.33434153
TEST_00198,0.3519328
TEST_00199,0.41579124
TEST_00200,0.5069019
TEST_00201,0.5705271
TEST_00202,0.36623055
TEST_00203,0.35414162
TEST_00204,0.0019918536
TEST_00205,0.09259797
TEST_00206,0.0035646574
TEST_00207,0.3406937
TEST_00208,0.2909837
TEST_00209,0.38001838
TEST_00210,0.52802074
TEST_00211,0.18309367
TEST_00212,0.254706
TEST_00213,0.23499487
TEST_00214,0.44746011
TEST_00215,0.33568868
TEST_00216,0.4133296
TEST_00217,0.35992506
TEST_00218,0.62331885
TEST_00219,0.27558973
TEST_00220,0.64792675
TEST_00221,0.49283716
TEST_00222,0.23320104
TEST_00223,0.3681009
TEST_00224,0.15374875
TEST_00225,0.41047466
TEST_00226,0.31922773
TEST_00227,0.31427565
TEST_00228,0.0031844385
TEST_00229,0.41441646
TEST_00230,0.35790423
TEST_00231,0.48439628
TEST_00232,0.33114377
TEST_00233,0.40137148
TEST_00234,0.50291175
TEST_00235,0.5793747
TEST_00236,0.4250349
TEST_00237,0.0024403622
TEST_00238,0.0030907998
TEST_00239,0.508004
TEST_00240,0.3852919
TEST_00241,0.49649015
TEST_00242,0.42192847
TEST_00243,0.27191487
TEST_00244,0.002385308
TEST_00245,0.70269626
TEST_00246,0.46221486
TEST_00247,0.1546886
TEST_00248,0.47052836
TEST_00249,0.601799
TEST_00250,0.3001426
TEST_00251,0.0032763646
TEST_00252,0.5670736
TEST_00253,0.021660557
TEST_00254,0.45558628
TEST_00255,0.61728543
TEST_00256,0.3687714
TEST_00257,0.4590706
TEST_00258,0.5169997
TEST_00259,0.561526
TEST_00260,0.0026042354
TEST_00261,0.0019830794
TEST_00262,0.0031109538
TEST_00263,0.61151266
TEST_00264,0.27982885
TEST_00265,0.4289604
TEST_00266,0.23579548
TEST_00267,0.0026151997
TEST_00268,0.29282406
TEST_00269,0.42669523
TEST_00270,0.21723905
TEST_00271,0.003184949
TEST_00272,0.4427169
TEST_00273,0.3538536
TEST_00274,0.37033018
TEST_00275,0.044524733
TEST_00276,0.0023516908
TEST_00277,0.36104685
TEST_00278,0.45173666
TEST_00279,0.6370277
TEST_00280,0.0055136075
TEST_00281,0.20061237
TEST_00282,0.0046166093
TEST_00283,0.0029296302
TEST_00284,0.49590933
TEST_00285,0.35798076
TEST_00286,0.09895498
TEST_00287,0.6147338
TEST_00288,0.0033618559
TEST_00289,0.5023576
TEST_00290,0.1995575
TEST_00291,0.39999595
TEST_00292,0.51790047
TEST_00293,0.002158997
TEST_00294,0.500658
TEST_00295,0.4391773
TEST_00296,0.019838171
TEST_00297,0.0021755013
TEST_00298,0.60633886
TEST_00299,0.443036
TEST_00300,0.19247544
TEST_00301,0.5758019
TEST_00302,0.3360381
TEST_00303,0.48845893
TEST_00304,0.6701042
TEST_00305,0.5622076
TEST_00306,0.31252405
TEST_00307,0.5759946
TEST_00308,0.54246396
TEST_00309,0.53247774
TEST_00310,0.50537175
TEST_00311,0.545263
TEST_00312,0.2061344
TEST_00313,0.23067774
TEST_00314,0.5816145
TEST_00315,0.3807321
TEST_00316,0.022837965
TEST_00317,0.13132495
TEST_00318,0.0023632273
TEST_00319,0.0030017318
TEST_00320,0.5548043
TEST_00321,0.30266783
TEST_00322,0.25011364
TEST_00323,0.3085818
TEST_00324,0.4182983
TEST_00325,0.0018577663
TEST_00326,0.4102766
TEST_00327,0.40403286
TEST_00328,0.18213166
TEST_00329,0.43297
TEST_00330,0.46514338
TEST_00331,0.0014263862
TEST_00332,0.53540236
TEST_00333,0.5141474
TEST_00334,0.5239753
TEST_00335,0.40891722
TEST_00336,0.0022778376
TEST_00337,0.30347815
TEST_00338,0.31606117
TEST_00339,0.40286657
TEST_00340,0.4484558
TEST_00341,0.3804151
TEST_00342,0.2517948
TEST_00343,0.0848439
TEST_00344,0.2745166
TEST_00345,0.013439543
TEST_00346,0.38963297
TEST_00347,0.3585667
TEST_00348,0.49663627
TEST_00349,0.4169599
TEST_00350,0.3684204
TEST_00351,0.49687162
TEST_00352,0.0056914473
TEST_00353,0.005759856
TEST_00354,0.2841007
TEST_00355,0.49551013
TEST_00356,0.24785686
TEST_00357,0.0021259685
TEST_00358,0.0027272722
TEST_00359,0.5894394
TEST_00360,0.49090394
TEST_00361,0.27799505
TEST_00362,0.47255355
TEST_00363,0.0034598769
TEST_00364,0.42953092
TEST_00365,0.29795772
TEST_00366,0.35025844
TEST_00367,0.31397313
TEST_00368,0.39028972
TEST_00369,0.11634117
TEST_00370,0.002356708
TEST_00371,0.16066882
TEST_00372,0.37297383
TEST_00373,0.5551242
TEST_00374,0.40697494
TEST_00375,0.0027968
TEST_00376,0.0018155306
TEST_00377,0.3886927
TEST_00378,0.39425075
TEST_00379,0.2243965
TEST_00380,0.0029198772
TEST_00381,0.57437664
TEST_00382,0.6365113
TEST_00383,0.15039524
TEST_00384,0.48713863
TEST_00385,0.263047
TEST_00386,0.642873
TEST_00387,0.38603875
TEST_00388,0.38289943
TEST_00389,0.375745
TEST_00390,0.5470378
